"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2018",,,,,,"Data collected as of January 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Kagawa,2600,55.32,33,1.18,16,0.57,84,3,343,12.25,19,0.68,20,0.71,-,-,20,0.71,6,0.21,7,0.25,-,-,5,1,-,-,-,-,1,0.2,-,-,-,-
Ehime,2913,47.75,20,0.54,9,0.24,139,3.76,456,12.32,17,0.46,10,0.27,1,0.03,26,0.7,1,0.03,26,0.7,-,-,29,3.63,-,-,-,-,9,1.5,-,-,1,0.17
Kochi,2425,50.52,29,0.97,5,0.17,63,2.1,139,4.63,15,0.5,21,0.7,4,0.13,15,0.5,-,-,-,-,-,-,1,0.33,-,-,-,-,4,0.5,-,-,-,-
Fukuoka,13932,70.36,81,0.68,67,0.56,571,4.76,1326,11.05,172,1.43,75,0.63,5,0.04,101,0.84,4,0.03,52,0.43,-,-,57,2.19,1,0.07,-,-,2,0.13,-,-,-,-
Saga,2227,57.1,24,1.04,29,1.26,66,2.87,165,7.17,13,0.57,28,1.22,-,-,30,1.3,1,0.04,2,0.09,-,-,6,1.5,1,0.17,-,-,2,0.33,-,-,-,-
Nagasaki,4481,64.01,17,0.39,17,0.39,188,4.27,270,6.14,17,0.39,64,1.45,2,0.05,27,0.61,1,0.02,1,0.02,1,0.13,7,0.88,-,-,-,-,4,0.33,-,-,-,-
Kumamoto,4745,59.31,19,0.38,58,1.16,80,1.6,528,10.56,38,0.76,30,0.6,1,0.02,46,0.92,4,0.08,10,0.2,-,-,22,2.44,1,0.07,3,0.2,1,0.07,-,-,-,-
Oita,4068,70.14,30,0.83,11,0.31,117,3.25,913,25.36,34,0.94,9,0.25,-,-,31,0.86,-,-,37,1.03,-,-,11,2.2,-,-,-,-,2,0.18,-,-,3,0.27
Miyazaki,5133,87,53,1.47,40,1.11,77,2.14,519,14.42,33,0.92,24,0.67,1,0.03,37,1.03,1,0.03,50,1.39,-,-,26,4.33,-,-,-,-,2,0.29,-,-,4,0.57
Kagoshima,5838,62.77,64,1.16,92,1.67,171,3.11,757,13.76,65,1.18,48,0.87,1,0.02,36,0.65,2,0.04,123,2.24,-,-,10,1.43,-,-,-,-,-,-,-,-,-,-
Okinawa,4135,72.54,16,0.47,10,0.29,81,2.38,192,5.65,45,1.32,31,0.91,-,-,14,0.41,2,0.06,3,0.09,1,0.11,33,3.67,1,0.14,4,0.57,2,0.29,-,-,-,-
