"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2018",,,,,,"Data collected as of January 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,1643,24.16,58,,10,0.21,99,2.06,233,4.85,10,0.21,5,0.1,-,-,21,0.44,-,-,13,0.27,-,-,4,0.44,-,-,-,-,1,0.11,-,-,-,-
Tokushima,1002,27.08,16,,5,0.22,29,1.26,84,3.65,3,0.13,5,0.22,2,0.09,13,0.57,-,-,9,0.39,-,-,4,1,-,-,-,-,-,-,-,-,-,-
Kagawa,1507,32.06,17,,10,0.36,52,1.86,190,6.79,2,0.07,7,0.25,-,-,12,0.43,3,0.11,5,0.18,-,-,3,0.6,-,-,-,-,-,-,-,-,-,-
Ehime,1794,29.41,12,,5,0.14,92,2.49,263,7.11,6,0.16,5,0.14,1,0.03,16,0.43,1,0.03,15,0.41,-,-,20,2.5,-,-,-,-,5,0.83,-,-,-,-
Kochi,1523,31.73,13,,1,0.03,34,1.13,90,3,6,0.2,14,0.47,4,0.13,7,0.23,-,-,-,-,-,-,-,-,-,-,-,-,3,0.38,-,-,-,-
Fukuoka,8233,41.58,39,,37,0.31,347,2.89,733,6.11,77,0.64,25,0.21,3,0.03,63,0.53,1,0.01,31,0.26,-,-,35,1.35,1,0.07,-,-,-,-,-,-,-,-
Saga,1364,34.97,9,,15,0.65,36,1.57,93,4.04,7,0.3,12,0.52,-,-,20,0.87,1,0.04,1,0.04,-,-,6,1.5,-,-,-,-,1,0.17,-,-,-,-
Nagasaki,2658,37.97,11,,7,0.16,116,2.64,150,3.41,10,0.23,30,0.68,1,0.02,16,0.36,-,-,1,0.02,1,0.13,4,0.5,-,-,-,-,1,0.08,-,-,-,-
Kumamoto,2775,34.69,10,,32,0.64,49,0.98,300,6,17,0.34,9,0.18,-,-,32,0.64,2,0.04,6,0.12,-,-,12,1.33,-,-,3,0.2,1,0.07,-,-,-,-
Oita,2390,41.21,8,,5,0.14,73,2.03,513,14.25,18,0.5,3,0.08,-,-,19,0.53,-,-,19,0.53,-,-,3,0.6,-,-,-,-,-,-,-,-,2,0.18
Miyazaki,3117,52.83,32,,21,0.58,50,1.39,296,8.22,13,0.36,17,0.47,1,0.03,22,0.61,-,-,27,0.75,-,-,13,2.17,-,-,-,-,1,0.14,-,-,3,0.43
Kagoshima,3774,40.58,32,,42,0.76,130,2.36,431,7.84,34,0.62,25,0.45,1,0.02,21,0.38,-,-,57,1.04,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-
Okinawa,2293,40.23,9,,5,0.15,50,1.47,95,2.79,20,0.59,18,0.53,-,-,9,0.26,-,-,3,0.09,-,-,19,2.11,-,-,2,0.29,1,0.14,-,-,-,-
