"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2017",,,,,,"Data collected as of December 6, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,22315,265.65,1575,29.17,920,17.04,2760,51.11,15174,281,647,11.98,5209,96.46,113,2.09,1012,18.74,20,0.37,1083,20.06,776,14.37,10,0.83,411,34.25,2,0.4,4,0.8,64,12.8,1,0.2,37,7.4
Hiroshima,27969,245.34,3306,46.56,1823,25.68,7611,107.2,16433,231.45,1064,14.99,7615,107.25,231,3.25,1281,18.04,49,0.69,1113,15.68,1060,14.93,9,0.47,732,38.53,7,0.35,11,0.55,164,8.2,2,0.1,110,5.5
Yamaguchi,19929,293.07,2683,55.9,1028,21.42,4952,103.17,9386,195.54,628,13.08,4789,99.77,140,2.92,1183,24.65,33,0.69,2154,44.88,2813,58.6,-,-,483,53.67,6,0.67,4,0.44,139,15.44,1,0.11,90,10
Tokushima,8611,232.73,1913,83.17,634,27.57,2010,87.39,5989,260.39,314,13.65,1902,82.7,88,3.83,785,34.13,11,0.48,683,29.7,753,32.74,1,0.25,40,10,-,-,2,0.33,13,2.17,-,-,12,2
Kagawa,9124,194.13,1375,49.11,627,22.39,2663,95.11,8945,319.46,315,11.25,3170,113.21,75,2.68,646,23.07,17,0.61,794,28.36,1081,38.61,5,1,183,36.6,4,0.8,6,1.2,117,23.4,-,-,155,31
Ehime,17184,281.7,2285,61.76,655,17.7,4692,126.81,13653,369,510,13.78,5175,139.86,279,7.54,1142,30.86,10,0.27,674,18.22,2565,69.32,1,0.13,810,101.25,4,0.67,2,0.33,89,14.83,-,-,33,5.5
Kochi,14666,305.54,1732,57.73,379,12.63,2360,78.67,5373,179.1,561,18.7,3294,109.8,114,3.8,506,16.87,25,0.83,597,19.9,192,6.4,-,-,17,5.67,6,0.75,7,0.88,85,10.63,12,1.5,88,11
Fukuoka,74633,376.93,8057,67.14,3061,25.51,19714,164.28,41890,349.08,2890,24.08,13645,113.71,340,2.83,3710,30.92,111,0.93,6871,57.26,3283,27.36,1,0.04,923,35.5,64,4.27,38,2.53,400,26.67,-,-,52,3.47
Saga,13024,342.74,1065,48.41,696,31.64,1885,85.68,4512,205.09,428,19.45,3579,162.68,43,1.95,766,34.82,9,0.41,1147,52.14,203,9.23,-,-,124,41.33,6,1,15,2.5,42,7,1,0.17,126,21
Nagasaki,23979,342.56,2320,52.73,507,11.52,5506,125.14,8173,185.75,506,11.5,3544,80.55,31,0.7,926,21.05,17,0.39,1164,26.45,908,20.64,10,1.25,96,12,2,0.17,42,3.5,122,10.17,-,-,127,10.58
Kumamoto,24650,308.13,3228,64.56,1430,28.6,4342,86.84,17170,343.4,897,17.94,6245,124.9,101,2.02,1586,31.72,10,0.2,3071,61.42,1210,24.2,6,0.67,635,70.56,16,1.07,41,2.73,106,7.07,-,-,124,8.27
Oita,20747,357.71,1255,34.86,680,18.89,5033,139.81,18693,519.25,754,20.94,4955,137.64,40,1.11,1179,32.75,26,0.72,1889,52.47,1316,36.56,-,-,149,29.8,2,0.18,3,0.27,118,10.73,1,0.09,44,4
Miyazaki,23861,411.4,2279,65.11,1658,47.37,3568,101.94,14975,427.86,891,25.46,5609,160.26,320,9.14,1452,41.49,27,0.77,2240,64,549,15.69,5,1,636,127.2,-,-,2,0.29,30,4.29,1,0.14,115,16.43
Kagoshima,28431,309.03,3231,59.83,3444,63.78,4577,84.76,19637,363.65,928,17.19,5775,106.94,95,1.76,1046,19.37,17,0.31,2319,42.94,4389,81.28,2,0.29,420,60,8,0.67,11,0.92,36,3,-,-,109,9.08
Okinawa,30166,529.23,2283,67.15,1243,36.56,1583,46.56,6473,190.38,721,21.21,2002,58.88,57,1.68,530,15.59,116,3.41,400,11.76,212,6.24,10,1.11,953,105.89,24,3.43,73,10.43,162,23.14,3,0.43,86,12.29
