"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46th week, 2012",,,,,,"Data collected as of November 21, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,2,0.03,95,,7,0.15,209,4.35,529,11.02,72,1.5,4,0.08,1,0.02,41,0.85,-,-,12,0.25,9,0.19,-,-,4,0.44,-,-,-,-,2,0.22,-,-
Tokushima,2,0.05,37,,16,0.7,25,1.09,182,7.91,49,2.13,-,-,2,0.09,17,0.74,2,0.09,1,0.04,4,0.17,-,-,-,-,-,-,-,-,3,0.6,-,-
Kagawa,1,0.02,106,,1,0.03,18,0.6,297,9.9,26,0.87,18,0.6,3,0.1,17,0.57,1,0.03,23,0.77,5,0.17,-,-,1,0.33,-,-,-,-,1,0.2,-,-
Ehime,2,0.03,77,,6,0.16,78,2.11,601,16.24,55,1.49,6,0.16,5,0.14,29,0.78,-,-,4,0.11,15,0.41,-,-,17,2.13,-,-,-,-,4,0.67,-,-
Kochi,1,0.02,11,,1,0.03,17,0.57,153,5.1,64,2.13,1,0.03,4,0.13,16,0.53,1,0.03,2,0.07,10,0.33,-,-,1,0.33,-,-,-,-,14,1.75,-,-
Fukuoka,23,0.12,89,,54,0.45,194,1.62,2403,20.03,188,1.57,35,0.29,4,0.03,90,0.75,10,0.08,13,0.11,69,0.58,-,-,12,0.46,-,-,-,-,2,0.13,-,-
Saga,62,1.59,28,,36,1.57,44,1.91,333,14.48,56,2.43,1,0.04,-,-,20,0.87,-,-,-,-,-,-,-,-,1,0.25,-,-,-,-,10,1.67,-,-
Nagasaki,2,0.03,59,,16,0.36,76,1.73,414,9.41,103,2.34,10,0.23,-,-,25,0.57,-,-,2,0.05,26,0.59,-,-,5,0.63,-,-,1,0.08,2,0.17,-,-
Kumamoto,1,0.01,43,,32,0.67,52,1.08,899,18.73,61,1.27,28,0.58,1,0.02,54,1.13,-,-,8,0.17,16,0.33,2,0.22,12,1.33,-,-,1,0.07,2,0.13,-,-
Oita,-,-,15,,12,0.33,71,1.97,699,19.42,34,0.94,24,0.67,1,0.03,25,0.69,1,0.03,5,0.14,60,1.67,-,-,-,-,-,-,-,-,5,0.45,-,-
Miyazaki,-,-,22,,58,1.61,74,2.06,807,22.42,57,1.58,54,1.5,-,-,40,1.11,-,-,4,0.11,29,0.81,1,0.17,11,1.83,-,-,1,0.14,1,0.14,-,-
Kagoshima,1,0.01,19,,39,0.71,65,1.18,1028,18.69,99,1.8,102,1.85,4,0.07,24,0.44,-,-,9,0.16,21,0.38,-,-,6,0.86,-,-,-,-,9,0.75,-,-
Okinawa,106,1.83,7,,9,0.26,11,0.32,143,4.21,31,0.91,17,0.5,1,0.03,16,0.47,-,-,5,0.15,9,0.26,-,-,21,2.1,-,-,-,-,5,0.71,-,-
