"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43th week, 2012",,,,,,"Data collected as of October 31, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,-,-,83,,2,0.04,120,2.5,220,4.58,36,0.75,4,0.08,-,-,34,0.71,3,0.06,7,0.15,5,0.1,-,-,1,0.11,-,-,2,0.22,11,1.22,-,-
Tokushima,-,-,21,,13,0.57,29,1.26,92,4,32,1.39,-,-,4,0.17,19,0.83,-,-,4,0.17,3,0.13,-,-,-,-,-,-,-,-,1,0.2,-,-
Kagawa,1,0.02,70,,5,0.17,8,0.27,146,4.87,19,0.63,17,0.57,3,0.1,9,0.3,-,-,18,0.6,3,0.1,-,-,2,0.67,-,-,1,0.2,-,-,-,-
Ehime,1,0.02,40,,3,0.08,40,1.08,239,6.46,38,1.03,17,0.46,3,0.08,34,0.92,1,0.03,13,0.35,14,0.38,-,-,6,0.75,-,-,-,-,7,1.17,-,-
Kochi,2,0.04,18,,2,0.07,24,0.8,109,3.63,28,0.93,-,-,5,0.17,19,0.63,4,0.13,6,0.2,7,0.23,-,-,-,-,-,-,-,-,4,0.5,-,-
Fukuoka,11,0.06,202,,40,0.33,131,1.09,1318,10.98,112,0.93,25,0.21,2,0.02,121,1.01,4,0.03,10,0.08,61,0.51,-,-,10,0.38,2,0.13,2,0.13,2,0.13,-,-
Saga,45,1.18,42,,29,1.32,26,1.18,87,3.95,39,1.77,4,0.18,-,-,29,1.32,-,-,1,0.05,6,0.27,-,-,4,1,-,-,-,-,7,1.17,-,-
Nagasaki,-,-,59,,9,0.2,38,0.86,245,5.57,29,0.66,1,0.02,-,-,25,0.57,-,-,-,-,24,0.55,-,-,3,0.38,-,-,1,0.08,5,0.42,-,-
Kumamoto,1,0.01,73,,15,0.31,35,0.73,340,7.08,47,0.98,26,0.54,4,0.08,41,0.85,-,-,15,0.31,23,0.48,-,-,17,1.89,-,-,-,-,4,0.27,1,0.07
Oita,2,0.03,49,,10,0.28,55,1.53,279,7.75,26,0.72,19,0.53,2,0.06,31,0.86,6,0.17,5,0.14,53,1.47,-,-,-,-,-,-,-,-,5,0.45,-,-
Miyazaki,1,0.02,52,,25,0.71,82,2.34,249,7.11,49,1.4,131,3.74,-,-,37,1.06,-,-,13,0.37,25,0.71,-,-,5,0.83,-,-,-,-,1,0.14,-,-
Kagoshima,1,0.01,28,,21,0.38,35,0.64,234,4.25,35,0.64,138,2.51,-,-,39,0.71,-,-,9,0.16,22,0.4,-,-,12,1.71,-,-,-,-,7,0.58,-,-
Okinawa,109,1.88,7,,3,0.09,7,0.21,206,6.06,19,0.56,12,0.35,3,0.09,13,0.38,1,0.03,6,0.18,12,0.35,1,0.1,32,3.2,-,-,-,-,9,1.29,-,-
