"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2018",,,,,,"Data collected as of August 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tokushima,-,-,56,2.43,7,0.3,16,0.7,89,3.87,2,0.09,40,1.74,7,0.3,17,0.74,55,2.39,-,-,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kagawa,4,0.09,35,1.25,6,0.21,30,1.07,116,4.14,6,0.21,12,0.43,-,-,13,0.46,30,1.07,6,0.21,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Ehime,-,-,77,2.08,6,0.16,44,1.19,155,4.19,4,0.11,309,8.35,1,0.03,22,0.59,48,1.3,2,0.05,-,-,18,2.25,-,-,-,-,7,1.17,-,-,-,-
Kochi,-,-,18,0.6,19,0.63,23,0.77,58,1.93,5,0.17,44,1.47,4,0.13,11,0.37,10,0.33,3,0.1,-,-,5,1.67,-,-,-,-,2,0.25,-,-,-,-
Fukuoka,4,0.02,206,1.72,50,0.42,154,1.28,349,2.91,15,0.13,189,1.58,1,0.01,45,0.38,174,1.45,21,0.18,-,-,33,1.27,-,-,1,0.07,-,-,-,-,-,-
Saga,-,-,52,2.48,11,0.52,22,1.05,33,1.57,5,0.24,33,1.57,1,0.05,10,0.48,36,1.71,2,0.1,1,0.33,1,0.33,-,-,-,-,4,0.67,-,-,-,-
Nagasaki,-,-,95,2.32,31,0.76,52,1.27,87,2.12,6,0.15,23,0.56,-,-,15,0.37,25,0.61,-,-,-,-,1,0.14,-,-,1,0.08,1,0.08,-,-,-,-
Kumamoto,1,0.01,87,1.74,10,0.2,46,0.92,162,3.24,5,0.1,160,3.2,2,0.04,25,0.5,83,1.66,4,0.08,-,-,22,2.44,-,-,-,-,1,0.07,-,-,-,-
Oita,2,0.03,87,2.42,4,0.11,34,0.94,248,6.89,20,0.56,66,1.83,-,-,9,0.25,43,1.19,8,0.22,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
Miyazaki,-,-,139,4.48,21,0.68,61,1.97,227,7.32,5,0.16,89,2.87,-,-,35,1.13,65,2.1,32,1.03,-,-,6,1.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,7,0.08,170,3.21,50,0.94,83,1.57,369,6.96,7,0.13,78,1.47,4,0.08,14,0.26,27,0.51,24,0.45,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Okinawa,89,1.53,66,1.94,41,1.21,39,1.15,162,4.76,14,0.41,122,3.59,1,0.03,12,0.35,39,1.15,3,0.09,-,-,42,4.67,-,-,3,0.43,2,0.29,-,-,-,-
