"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2013",,,,,,"Data collected as of July 31, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,-,-,40,,25,0.53,88,1.87,171,3.64,25,0.53,428,9.11,4,0.09,39,0.83,-,-,157,3.34,8,0.17,-,-,2,0.22,-,-,-,-,1,0.11,-,-
Tokushima,-,-,1,,2,0.09,12,0.52,106,4.61,10,0.43,142,6.17,-,-,21,0.91,-,-,114,4.96,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,2,0.04,-,,10,0.34,9,0.31,105,3.62,30,1.03,419,14.45,-,-,22,0.76,-,-,77,2.66,1,0.03,-,-,-,-,-,-,-,-,2,0.4,-,-
Ehime,-,-,10,,18,0.49,20,0.54,191,5.16,30,0.81,269,7.27,-,-,38,1.03,-,-,64,1.73,12,0.32,-,-,9,1.13,-,-,-,-,-,-,-,-
Kochi,-,-,-,,6,0.2,11,0.37,92,3.07,24,0.8,212,7.07,-,-,14,0.47,3,0.1,268,8.93,14,0.47,-,-,-,-,-,-,1,0.13,5,0.63,-,-
Fukuoka,3,0.02,133,,138,1.15,179,1.49,576,4.8,128,1.07,667,5.56,2,0.02,95,0.79,1,0.01,275,2.29,92,0.77,1,0.04,23,0.88,-,-,1,0.08,2,0.15,-,-
Saga,-,-,2,,58,2.52,22,0.96,38,1.65,7,0.3,92,4,1,0.04,16,0.7,-,-,39,1.7,9,0.39,-,-,1,0.25,-,-,-,-,6,1,-,-
Nagasaki,1,0.01,1,,10,0.23,37,0.84,125,2.84,34,0.77,346,7.86,1,0.02,26,0.59,-,-,25,0.57,25,0.57,1,0.13,6,0.75,-,-,-,-,6,0.5,-,-
Kumamoto,4,0.05,13,,38,0.76,46,0.92,226,4.52,34,0.68,279,5.58,-,-,56,1.12,1,0.02,165,3.3,4,0.08,-,-,14,1.56,1,0.07,2,0.13,1,0.07,-,-
Oita,-,-,5,,42,1.17,48,1.33,340,9.44,44,1.22,321,8.92,-,-,33,0.92,-,-,129,3.58,24,0.67,-,-,-,-,-,-,1,0.09,4,0.36,-,-
Miyazaki,1,0.02,14,,35,0.97,49,1.36,206,5.72,36,1,252,7,-,-,42,1.17,-,-,140,3.89,13,0.36,-,-,19,3.17,-,-,2,0.29,-,-,-,-
Kagoshima,-,-,39,,58,1.05,66,1.2,250,4.55,32,0.58,391,7.11,1,0.02,29,0.53,3,0.05,158,2.87,12,0.22,-,-,2,0.29,-,-,-,-,-,-,-,-
Okinawa,100,1.72,59,,32,0.94,18,0.53,58,1.71,31,0.91,72,2.12,2,0.06,8,0.24,1,0.03,32,0.94,9,0.26,-,-,42,4.2,-,-,-,-,7,1,-,-
