"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2018",,,,,,"Data collected as of April 4, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,9745,256.45,75,3.26,48,2.09,852,37.04,1559,67.78,42,1.83,70,3.04,4,0.17,107,4.65,5,0.22,69,3,-,-,2,0.67,2,0.25,2,0.25,4,0.5,-,-,23,2.88
Okayama,27943,332.65,113,2.09,125,2.31,1303,24.13,4378,81.07,134,2.48,79,1.46,17,0.31,192,3.56,6,0.11,56,1.04,8,0.67,70,5.83,2,0.4,-,-,5,1,-,-,14,2.8
Hiroshima,33489,293.76,337,4.75,320,4.51,2050,28.87,7321,103.11,200,2.82,102,1.44,16,0.23,254,3.58,17,0.24,71,1,5,0.26,154,8.11,2,0.1,-,-,13,0.65,-,-,233,11.65
Yamaguchi,26186,385.09,598,12.46,244,5.08,1652,34.42,3203,66.73,123,2.56,62,1.29,10,0.21,227,4.73,3,0.06,116,2.42,-,-,69,7.67,1,0.11,3,0.33,12,1.33,-,-,46,5.11
Tokushima,11699,316.19,229,9.96,117,5.09,498,21.65,1201,52.22,50,2.17,32,1.39,12,0.52,169,7.35,5,0.22,64,2.78,-,-,13,3.25,1,0.14,-,-,5,0.71,-,-,-,-
Kagawa,14838,315.7,132,4.71,104,3.71,688,24.57,1967,70.25,80,2.86,38,1.36,6,0.21,135,4.82,13,0.46,38,1.36,1,0.2,34,6.8,1,0.2,1,0.2,16,3.2,-,-,9,1.8
Ehime,22797,373.72,228,6.16,64,1.73,1579,42.68,3306,89.35,91,2.46,36,0.97,12,0.32,232,6.27,5,0.14,114,3.08,-,-,139,17.38,-,-,-,-,34,5.67,-,-,12,2
Kochi,20725,431.77,145,4.83,53,1.77,541,18.03,1347,44.9,55,1.83,129,4.3,13,0.43,90,3,4,0.13,8,0.27,-,-,7,2.33,2,0.25,1,0.13,20,2.5,8,1,9,1.13
Fukuoka,88916,449.07,1167,9.73,552,4.6,5272,43.93,10861,90.51,640,5.33,704,5.87,46,0.38,849,7.08,29,0.24,299,2.49,2,0.08,285,10.96,7,0.47,4,0.27,50,3.33,-,-,43,2.87
Saga,15178,399.42,121,5.5,155,7.05,503,22.86,1149,52.23,64,2.91,165,7.5,6,0.27,177,8.05,2,0.09,13,0.59,1,0.25,40,10,2,0.33,1,0.17,6,1,-,-,27,4.5
Nagasaki,26426,377.51,194,4.41,131,2.98,1539,34.98,2776,63.09,192,4.36,542,12.32,14,0.32,174,3.95,6,0.14,22,0.5,4,0.5,35,4.38,-,-,5,0.42,26,2.17,-,-,30,2.5
Kumamoto,29312,366.4,262,5.24,308,6.16,847,16.94,4475,89.5,136,2.72,188,3.76,14,0.28,360,7.2,58,1.16,53,1.06,-,-,133,14.78,4,0.27,7,0.47,14,0.93,-,-,17,1.13
Oita,26559,457.91,171,4.75,79,2.19,833,23.14,6053,168.14,192,5.33,115,3.19,9,0.25,226,6.28,6,0.17,139,3.86,-,-,46,9.2,1,0.09,1,0.09,15,1.36,-,-,23,2.09
Miyazaki,27123,459.71,412,11.44,314,8.72,812,22.56,4757,132.14,125,3.47,406,11.28,16,0.44,310,8.61,24,0.67,332,9.22,-,-,159,26.5,-,-,-,-,3,0.43,-,-,136,19.43
Kagoshima,40204,432.3,641,11.65,682,12.4,2059,37.44,5476,99.56,293,5.33,453,8.24,24,0.44,217,3.95,18,0.33,529,9.62,1,0.14,67,9.57,-,-,1,0.08,6,0.5,-,-,7,0.58
Okinawa,26857,471.18,327,9.62,85,2.5,801,23.56,1394,41,290,8.53,250,7.35,18,0.53,135,3.97,11,0.32,53,1.56,3,0.33,143,15.89,9,1.29,16,2.29,8,1.14,2,0.29,11,1.57
