"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2018",,,,,,"Data collected as of August 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,9994,263,236,10.26,196,8.52,1631,70.91,4267,185.52,114,4.96,322,14,11,0.48,374,16.26,212,9.22,122,5.3,-,-,6,2,5,0.63,20,2.5,8,1,-,-,46,5.75
Okayama,28312,349.53,210,4.04,415,7.98,2797,53.79,11099,213.44,433,8.33,341,6.56,133,2.56,606,11.65,336,6.46,157,3.02,15,1.36,207,18.82,3,0.75,-,-,9,2.25,-,-,28,7
Hiroshima,34121,299.31,798,11.24,1133,15.96,4448,62.65,15089,212.52,529,7.45,1435,20.21,35,0.49,718,10.11,1125,15.85,228,3.21,18,0.95,517,27.21,5,0.25,4,0.2,36,1.8,2,0.1,374,18.7
Yamaguchi,26770,399.55,1210,25.74,599,12.74,4304,91.57,7334,156.04,362,7.7,2068,44,26,0.55,735,15.64,897,19.09,210,4.47,-,-,129,14.33,5,0.56,4,0.44,31,3.44,-,-,103,11.44
Tokushima,11992,324.11,546,23.74,357,15.52,1274,55.39,3791,164.83,143,6.22,815,35.43,100,4.35,471,20.48,320,13.91,91,3.96,-,-,22,5.5,4,0.57,2,0.29,12,1.71,-,-,2,0.29
Kagawa,15195,323.3,218,7.79,351,12.54,1612,57.57,5839,208.54,210,7.5,228,8.14,17,0.61,450,16.07,563,20.11,148,5.29,4,0.8,90,18,3,0.6,2,0.4,25,5,1,0.2,40,8
Ehime,23262,387.7,524,14.56,356,9.89,3422,95.06,9229,256.36,267,7.42,828,23,37,1.03,722,20.06,534,14.83,212,5.89,1,0.14,410,58.57,-,-,-,-,67,11.17,-,-,45,7.5
Kochi,20862,434.63,201,6.7,264,8.8,1272,42.4,3455,115.17,158,5.27,536,17.87,71,2.37,327,10.9,48,1.6,42,1.4,-,-,34,11.33,3,0.38,1,0.13,48,6,12,1.5,29,3.63
Fukuoka,90296,458.36,2880,24.2,2293,19.27,11904,100.03,26487,222.58,1676,14.08,8648,72.67,140,1.18,2410,20.25,1350,11.34,1066,8.96,10,0.38,1075,41.35,22,1.47,21,1.4,91,6.07,-,-,79,5.27
Saga,15623,411.13,281,12.77,600,27.27,1072,48.73,2871,130.5,232,10.55,1052,47.82,20,0.91,465,21.14,954,43.36,53,2.41,2,0.5,71,17.75,2,0.33,8,1.33,23,3.83,-,-,56,9.33
Nagasaki,26953,385.04,599,13.61,429,9.75,3335,75.8,6259,142.25,326,7.41,2128,48.36,27,0.61,549,12.48,598,13.59,81,1.84,6,0.75,150,18.75,10,0.83,12,1,64,5.33,-,-,98,8.17
Kumamoto,29832,372.9,487,9.74,606,12.12,2115,42.3,10968,219.36,336,6.72,3434,68.68,38,0.76,1070,21.4,559,11.18,145,2.9,1,0.11,409,45.44,8,0.53,14,0.93,24,1.6,-,-,42,2.8
Oita,27037,466.16,435,12.08,273,7.58,1869,51.92,12723,353.42,572,15.89,4354,120.94,22,0.61,674,18.72,363,10.08,385,10.69,1,0.2,144,28.8,1,0.09,1,0.09,35,3.18,-,-,25,2.27
Miyazaki,27760,478.62,837,23.91,885,25.29,2246,64.17,10655,304.43,421,12.03,4742,135.49,35,1,906,25.89,304,8.69,890,25.43,1,0.17,411,68.5,1,0.14,-,-,4,0.57,-,-,153,21.86
Kagoshima,40852,444.04,1162,21.52,1895,35.09,4773,88.39,12858,238.11,567,10.5,4451,82.43,71,1.31,726,13.44,168,3.11,1037,19.2,1,0.14,215,30.71,3,0.25,5,0.42,8,0.67,-,-,14,1.17
Okinawa,29233,512.86,2120,62.35,529,15.56,1714,50.41,3697,108.74,541,15.91,1052,30.94,51,1.5,458,13.47,107,3.15,123,3.62,6,0.67,496,55.11,21,3,40,5.71,27,3.86,3,0.43,24,3.43
