"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2018",,,,,,"Data collected as of August 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,10,0.09,79,1.11,31,0.44,109,1.54,240,3.38,13,0.18,112,1.58,1,0.01,24,0.34,107,1.51,12,0.17,-,-,15,0.79,-,-,-,-,3,0.14,-,-,2,0.1
Yamaguchi,2,0.03,61,1.3,15,0.32,102,2.17,151,3.21,16,0.34,189,4.02,1,0.02,22,0.47,151,3.21,6,0.13,-,-,2,0.22,-,-,-,-,1,0.11,-,-,-,-
Tokushima,-,-,46,2,8,0.35,22,0.96,127,5.52,2,0.09,110,4.78,6,0.26,19,0.83,89,3.87,3,0.13,-,-,1,0.25,-,-,1,0.14,-,-,-,-,-,-
Kagawa,4,0.09,10,0.36,9,0.32,31,1.11,136,4.86,9,0.32,24,0.86,-,-,9,0.32,41,1.46,15,0.54,-,-,4,0.8,-,-,-,-,-,-,-,-,-,-
Ehime,1,0.02,23,0.64,18,0.5,54,1.5,225,6.25,9,0.25,265,7.36,1,0.03,26,0.72,77,2.14,4,0.11,-,-,23,3.29,-,-,-,-,6,1,-,-,-,-
Kochi,-,-,2,0.07,28,0.93,18,0.6,77,2.57,3,0.1,38,1.27,7,0.23,16,0.53,10,0.33,1,0.03,-,-,7,2.33,-,-,-,-,1,0.13,-,-,-,-
Fukuoka,-,-,289,2.41,70,0.58,332,2.77,700,5.83,47,0.39,545,4.54,7,0.06,82,0.68,252,2.1,42,0.35,6,0.23,41,1.58,-,-,1,0.07,1,0.07,-,-,-,-
Saga,4,0.11,26,1.13,10,0.43,25,1.09,44,1.91,5,0.22,45,1.96,-,-,21,0.91,73,3.17,3,0.13,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Nagasaki,3,0.04,75,1.7,23,0.52,51,1.16,125,2.84,3,0.07,63,1.43,-,-,18,0.41,70,1.59,4,0.09,-,-,12,1.5,-,-,-,-,-,-,-,-,-,-
Kumamoto,-,-,41,0.82,11,0.22,41,0.82,251,5.02,7,0.14,183,3.66,-,-,39,0.78,99,1.98,6,0.12,-,-,16,1.78,-,-,-,-,4,0.27,-,-,1,0.07
Oita,-,-,60,1.67,10,0.28,30,0.83,306,8.5,33,0.92,180,5,1,0.03,28,0.78,68,1.89,13,0.36,-,-,4,0.8,-,-,-,-,4,0.36,-,-,-,-
Miyazaki,9,0.16,70,2,28,0.8,60,1.71,224,6.4,19,0.54,162,4.63,1,0.03,35,1,58,1.66,21,0.6,-,-,17,2.83,-,-,-,-,-,-,-,-,-,-
Kagoshima,30,0.33,132,2.44,59,1.09,120,2.22,423,7.83,6,0.11,117,2.17,2,0.04,29,0.54,20,0.37,24,0.44,-,-,12,1.71,1,0.08,-,-,-,-,-,-,-,-
Okinawa,98,1.72,73,2.15,33,0.97,45,1.32,157,4.62,10,0.29,121,3.56,-,-,10,0.29,25,0.74,4,0.12,-,-,33,3.67,2,0.29,1,0.14,1,0.14,-,-,-,-
