"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2017",,,,,,"Data collected as of October 4, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,7446,201.24,753,34.23,329,14.95,2255,102.5,4584,208.36,208,9.45,1591,72.32,217,9.86,545,24.77,11,0.5,407,18.5,1188,54,-,-,6,2,2,0.25,13,1.63,61,7.63,-,-,47,5.88
Okayama,22097,263.06,864,16,845,15.65,2177,40.31,12273,227.28,529,9.8,4610,85.37,87,1.61,855,15.83,17,0.31,1048,19.41,710,13.15,10,0.83,338,28.17,2,0.4,4,0.8,47,9.4,1,0.2,36,7.2
Hiroshima,27240,238.95,2101,29.59,1598,22.51,6155,86.69,13691,192.83,845,11.9,6852,96.51,217,3.06,1077,15.17,41,0.58,1000,14.08,928,13.07,9,0.47,612,32.21,6,0.3,8,0.4,130,6.5,1,0.05,109,5.45
Yamaguchi,19711,289.87,1961,40.85,903,18.81,3958,82.46,7775,161.98,493,10.27,4408,91.83,138,2.88,975,20.31,31,0.65,2111,43.98,2618,54.54,-,-,361,40.11,5,0.56,2,0.22,114,12.67,1,0.11,89,9.89
Tokushima,8513,230.08,1415,61.52,541,23.52,1680,73.04,4877,212.04,198,8.61,1639,71.26,83,3.61,622,27.04,8,0.35,661,28.74,633,27.52,1,0.25,31,7.75,-,-,2,0.33,11,1.83,-,-,12,2
Kagawa,9079,193.17,795,28.39,554,19.79,2262,80.79,7777,277.75,228,8.14,2982,106.5,65,2.32,542,19.36,16,0.57,704,25.14,960,34.29,2,0.4,131,26.2,3,0.6,5,1,83,16.6,-,-,154,30.8
Ehime,16532,271.02,1861,50.3,592,16,3867,104.51,10897,294.51,411,11.11,4342,117.35,262,7.08,928,25.08,9,0.24,609,16.46,2279,61.59,-,-,666,83.25,3,0.5,1,0.17,64,10.67,-,-,33,5.5
Kochi,14649,305.19,1179,39.3,339,11.3,2002,66.73,4486,149.53,454,15.13,3086,102.87,109,3.63,418,13.93,21,0.7,502,16.73,179,5.97,-,-,12,4,2,0.25,7,0.88,74,9.25,9,1.13,86,10.75
Fukuoka,72236,364.83,6016,50.13,2537,21.14,16030,133.58,35372,294.77,2342,19.52,11684,97.37,306,2.55,3052,25.43,99,0.83,6640,55.33,2849,23.74,1,0.04,718,27.62,50,3.33,30,2,356,23.73,-,-,52,3.47
Saga,12769,336.03,601,27.32,607,27.59,1604,72.91,3981,180.95,391,17.77,2737,124.41,42,1.91,644,29.27,8,0.36,1092,49.64,188,8.55,-,-,94,31.33,6,1,12,2,34,5.67,1,0.17,124,20.67
Nagasaki,22533,321.9,1976,44.91,429,9.75,4702,106.86,6859,155.89,423,9.61,3125,71.02,29,0.66,758,17.23,17,0.39,1086,24.68,817,18.57,8,1,88,11,1,0.08,30,2.5,100,8.33,-,-,127,10.58
Kumamoto,24223,302.79,2142,42.84,1121,22.42,3816,76.32,14384,287.68,751,15.02,5448,108.96,95,1.9,1304,26.08,10,0.2,2814,56.28,1062,21.24,5,0.56,511,56.78,15,1,35,2.33,94,6.27,-,-,124,8.27
Oita,20218,348.59,870,24.17,577,16.03,4476,124.33,16197,449.92,605,16.81,4635,128.75,37,1.03,992,27.56,23,0.64,1809,50.25,938,26.06,-,-,127,25.4,1,0.09,2,0.18,97,8.82,1,0.09,44,4
Miyazaki,23098,398.24,1764,50.4,1146,32.74,3074,87.83,12316,351.89,756,21.6,5267,150.49,306,8.74,1187,33.91,9,0.26,2086,59.6,382,10.91,4,0.8,483,96.6,-,-,1,0.14,25,3.57,1,0.14,114,16.29
Kagoshima,27689,300.97,2702,50.04,2873,53.2,3759,69.61,16821,311.5,787,14.57,4681,86.69,91,1.69,867,16.06,15,0.28,1975,36.57,3681,68.17,1,0.14,347,49.57,8,0.67,11,0.92,29,2.42,-,-,109,9.08
Okinawa,27687,485.74,2174,63.94,1089,32.03,1318,38.76,5712,168,615,18.09,1483,43.62,48,1.41,421,12.38,107,3.15,341,10.03,178,5.24,10,1.11,698,77.56,18,2.57,67,9.57,143,20.43,1,0.14,86,12.29
