"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2016",,,,,,"Data collected as of June 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,3,0.04,4,,22,0.46,182,3.79,265,5.52,23,0.48,3,0.06,37,0.77,32,0.67,-,-,25,0.52,14,0.29,-,-,1,0.11,-,-,-,-,2,0.22,-,-,-,-
Tokushima,13,0.35,2,,11,0.48,38,1.65,116,5.04,11,0.48,1,0.04,6,0.26,20,0.87,-,-,8,0.35,16,0.7,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14
Kagawa,2,0.04,-,,15,0.54,76,2.71,209,7.46,14,0.5,40,1.43,16,0.57,13,0.46,2,0.07,58,2.07,13,0.46,-,-,1,0.2,1,0.2,-,-,2,0.4,-,-,5,1
Ehime,8,0.13,3,,19,0.51,136,3.68,247,6.68,13,0.35,4,0.11,18,0.49,26,0.7,1,0.03,5,0.14,12,0.32,-,-,19,2.38,-,-,-,-,4,0.67,-,-,-,-
Kochi,3,0.06,5,,8,0.27,56,1.87,150,5,5,0.17,5,0.17,16,0.53,12,0.4,2,0.07,6,0.2,18,0.6,-,-,1,0.33,-,-,1,0.13,14,1.75,-,-,2,0.25
Fukuoka,52,0.26,48,,109,0.91,459,3.83,882,7.35,89,0.74,29,0.24,55,0.46,96,0.8,3,0.03,106,0.88,155,1.29,-,-,15,0.58,-,-,3,0.2,8,0.53,-,-,1,0.07
Saga,32,0.82,1,,43,1.87,71,3.09,105,4.57,8,0.35,3,0.13,9,0.39,30,1.3,-,-,28,1.22,41,1.78,-,-,1,0.25,-,-,-,-,3,0.5,-,-,1,0.17
Nagasaki,31,0.44,-,,7,0.16,95,2.16,184,4.18,22,0.5,12,0.27,4,0.09,16,0.36,-,-,7,0.16,37,0.84,-,-,21,2.63,-,-,-,-,13,1.08,-,-,1,0.08
Kumamoto,20,0.25,7,,25,0.51,79,1.61,324,6.61,20,0.41,16,0.33,18,0.37,63,1.29,-,-,10,0.2,57,1.16,-,-,18,2,-,-,4,0.27,2,0.13,-,-,-,-
Oita,31,0.53,4,,28,0.78,186,5.17,499,13.86,39,1.08,11,0.31,7,0.19,42,1.17,2,0.06,19,0.53,15,0.42,-,-,-,-,-,-,-,-,5,0.45,-,-,-,-
Miyazaki,16,0.27,17,,19,0.53,145,4.03,312,8.67,21,0.58,30,0.83,32,0.89,36,1,-,-,6,0.17,130,3.61,2,0.33,21,3.5,-,-,-,-,8,1.14,-,-,2,0.29
Kagoshima,110,1.18,20,,71,1.29,115,2.09,386,7.02,38,0.69,21,0.38,17,0.31,29,0.53,-,-,6,0.11,83,1.51,-,-,8,1.14,-,-,-,-,3,0.25,-,-,3,0.25
Okinawa,160,2.76,70,,27,0.79,34,1,132,3.88,11,0.32,104,3.06,4,0.12,15,0.44,7,0.21,12,0.35,42,1.24,-,-,7,0.78,1,0.14,2,0.29,4,0.57,-,-,1,0.14
