"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2017",,,,,,"Data collected as of October 18, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,8436,172.16,909,30.3,458,15.27,877,29.23,4840,161.33,361,12.03,2322,77.4,31,1.03,518,17.27,10,0.33,537,17.9,1771,59.03,13,3.25,104,26,4,0.4,19,1.9,84,8.4,6,0.6,68,6.8
Tottori,6031,207.97,718,37.79,496,26.11,4219,222.05,3797,199.84,365,19.21,1861,97.95,31,1.63,309,16.26,22,1.16,581,30.58,823,43.32,2,0.4,195,39,9,1.8,25,5,58,11.6,-,-,74,14.8
Shimane,7449,201.32,888,40.36,336,15.27,2342,106.45,4742,215.55,219,9.95,1656,75.27,217,9.86,568,25.82,12,0.55,418,19,1214,55.18,-,-,6,2,2,0.25,16,2,61,7.63,-,-,47,5.88
Okayama,22112,263.24,1105,20.46,861,15.94,2278,42.19,12862,238.19,553,10.24,4781,88.54,92,1.7,890,16.48,19,0.35,1058,19.59,729,13.5,10,0.83,355,29.58,2,0.4,4,0.8,50,10,1,0.2,36,7.2
Hiroshima,27285,239.34,2521,35.51,1643,23.14,6397,90.1,14190,199.86,876,12.34,7018,98.85,223,3.14,1122,15.8,42,0.59,1026,14.45,953,13.42,9,0.47,636,33.47,6,0.3,8,0.4,134,6.7,1,0.05,109,5.45
Yamaguchi,19758,290.56,2173,45.27,932,19.42,4118,85.79,8087,168.48,525,10.94,4500,93.75,138,2.88,1026,21.38,32,0.67,2125,44.27,2666,55.54,-,-,384,42.67,5,0.56,3,0.33,118,13.11,1,0.11,90,10
Tokushima,8514,230.11,1606,69.83,552,24,1725,75,5013,217.96,215,9.35,1703,74.04,87,3.78,659,28.65,10,0.43,671,29.17,659,28.65,1,0.25,33,8.25,-,-,2,0.33,12,2,-,-,12,2
Kagawa,9083,193.26,970,34.64,571,20.39,2354,84.07,8013,286.18,241,8.61,3029,108.18,65,2.32,559,19.96,17,0.61,727,25.96,980,35,3,0.6,142,28.4,3,0.6,5,1,88,17.6,-,-,154,30.8
Ehime,16534,271.05,2031,54.89,600,16.22,3987,107.76,11250,304.05,433,11.7,4579,123.76,267,7.22,987,26.68,9,0.24,626,16.92,2356,63.68,-,-,703,87.88,4,0.67,1,0.17,70,11.67,-,-,33,5.5
Kochi,14652,305.25,1377,45.9,358,11.93,2086,69.53,4648,154.93,469,15.63,3121,104.03,109,3.63,435,14.5,22,0.73,516,17.2,183,6.1,-,-,13,4.33,3,0.38,7,0.88,75,9.38,10,1.25,87,10.88
Fukuoka,72304,365.17,6825,56.88,2626,21.88,16652,138.77,36381,303.18,2418,20.15,12096,100.8,313,2.61,3185,26.54,102,0.85,6695,55.79,2921,24.34,1,0.04,768,29.54,56,3.73,31,2.07,370,24.67,-,-,52,3.47
Saga,12772,336.11,744,33.82,621,28.23,1643,74.68,4086,185.73,400,18.18,2892,131.45,42,1.91,668,30.36,8,0.36,1107,50.32,194,8.82,-,-,99,33,6,1,12,2,36,6,1,0.17,124,20.67
Nagasaki,22598,322.83,2151,48.89,447,10.16,4848,110.18,7064,160.55,437,9.93,3175,72.16,29,0.66,786,17.86,17,0.39,1121,25.48,843,19.16,9,1.13,92,11.5,2,0.17,34,2.83,103,8.58,-,-,127,10.58
Kumamoto,24248,303.1,2681,53.62,1169,23.38,3895,77.9,14856,297.12,785,15.7,5659,113.18,96,1.92,1354,27.08,10,0.2,2897,57.94,1113,22.26,5,0.56,541,60.11,15,1,37,2.47,97,6.47,-,-,124,8.27
Oita,20224,348.69,1001,27.81,600,16.67,4589,127.47,16644,462.33,628,17.44,4716,131,37,1.03,1039,28.86,24,0.67,1831,50.86,1026,28.5,-,-,131,26.2,1,0.09,2,0.18,105,9.55,1,0.09,44,4
Miyazaki,23114,398.52,2013,57.51,1239,35.4,3152,90.06,12740,364,778,22.23,5348,152.8,310,8.86,1245,35.57,11,0.31,2136,61.03,414,11.83,5,1,525,105,-,-,2,0.29,25,3.57,1,0.14,115,16.43
Kagoshima,27719,301.29,2893,53.57,2989,55.35,3909,72.39,17328,320.89,821,15.2,5005,92.69,91,1.69,907,16.8,17,0.31,2140,39.63,3818,70.7,1,0.14,367,52.43,8,0.67,11,0.92,29,2.42,-,-,109,9.08
Okinawa,28282,496.18,2199,64.68,1146,33.71,1371,40.32,5904,173.65,645,18.97,1619,47.62,48,1.41,448,13.18,108,3.18,352,10.35,191,5.62,10,1.11,810,90,20,2.86,67,9.57,151,21.57,1,0.14,86,12.29
