"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2017",,,,,,"Data collected as of January 5, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,9651,196.96,1375,45.83,629,20.97,1284,42.8,6005,200.17,428,14.27,2437,81.23,38,1.27,638,21.27,11,0.37,650,21.67,1879,62.63,18,4.5,124,31,6,0.6,22,2.2,114,11.4,6,0.6,82,8.2
Tottori,7203,248.38,917,48.26,649,34.16,5421,285.32,5027,264.58,406,21.37,2081,109.53,32,1.68,410,21.58,29,1.53,616,32.42,871,45.84,2,0.4,282,56.4,10,2,28,5.6,68,13.6,-,-,74,14.8
Shimane,8846,239.08,1180,53.64,403,18.32,2966,134.82,6071,275.95,282,12.82,1935,87.95,223,10.14,691,31.41,13,0.59,447,20.32,1320,60,-,-,14,4.67,3,0.38,20,2.5,64,8,2,0.25,52,6.5
Okayama,28302,336.93,1674,31,972,18,3112,57.63,17061,315.94,711,13.17,5281,97.8,125,2.31,1081,20.02,21,0.39,1086,20.11,785,14.54,11,0.92,430,35.83,2,0.4,4,0.8,68,13.6,1,0.2,37,7.4
Hiroshima,35000,307.02,3490,49.15,1964,27.66,8445,118.94,18990,267.46,1186,16.7,7749,109.14,238,3.35,1375,19.37,51,0.72,1127,15.87,1100,15.49,11,0.58,817,43,7,0.35,16,0.8,177,8.85,2,0.1,115,5.75
Yamaguchi,24271,356.93,3025,63.02,1101,22.94,5580,116.25,10838,225.79,689,14.35,4872,101.5,141,2.94,1257,26.19,34,0.71,2156,44.92,2911,60.65,-,-,518,57.56,7,0.78,6,0.67,151,16.78,1,0.11,96,10.67
Tokushima,10178,275.08,2044,88.87,718,31.22,2229,96.91,6737,292.91,352,15.3,2041,88.74,92,4,858,37.3,11,0.48,687,29.87,817,35.52,1,0.25,43,10.75,-,-,2,0.33,13,2.17,-,-,12,2
Kagawa,10689,227.43,1503,53.68,695,24.82,2943,105.11,9881,352.89,361,12.89,3258,116.36,76,2.71,693,24.75,17,0.61,809,28.89,1097,39.18,6,1.2,197,39.4,4,0.8,9,1.8,127,25.4,-,-,155,31
Ehime,21015,344.51,2371,64.08,691,18.68,5303,143.32,15618,422.11,554,14.97,5231,141.38,288,7.78,1209,32.68,11,0.3,697,18.84,2654,71.73,1,0.13,862,107.75,6,1,2,0.33,109,18.17,-,-,33,5.5
Kochi,15550,323.96,1814,60.47,409,13.63,2580,86,5746,191.53,619,20.63,3345,111.5,115,3.83,550,18.33,29,0.97,604,20.13,198,6.6,-,-,17,5.67,6,0.75,7,0.88,92,11.5,14,1.75,88,11
Fukuoka,87379,441.31,8338,69.48,3401,28.34,21805,181.71,46787,389.89,3351,27.93,14251,118.76,353,2.94,3985,33.21,115,0.96,6908,57.57,3458,28.82,3,0.12,1007,38.73,65,4.33,41,2.73,420,28,-,-,52,3.47
Saga,15220,400.53,1112,50.55,755,34.32,2065,93.86,5167,234.86,456,20.73,3896,177.09,44,2,837,38.05,9,0.41,1152,52.36,209,9.5,-,-,136,45.33,7,1.17,16,2.67,46,7.67,1,0.17,128,21.33
Nagasaki,29967,428.1,2362,53.68,547,12.43,6121,139.11,9028,205.18,588,13.36,3828,87,35,0.8,997,22.66,17,0.39,1174,26.68,924,21,11,1.38,99,12.38,4,0.33,44,3.67,136,11.33,-,-,129,10.75
Kumamoto,29379,367.24,3321,66.42,1713,34.26,4603,92.06,18909,378.18,985,19.7,6444,128.88,107,2.14,1704,34.08,10,0.2,3123,62.46,1247,24.94,6,0.67,687,76.33,16,1.07,42,2.8,113,7.53,-,-,124,8.27
Oita,25168,433.93,1345,37.36,733,20.36,5332,148.11,21061,585.03,852,23.67,5017,139.36,41,1.14,1259,34.97,29,0.81,1900,52.78,1442,40.06,-,-,166,33.2,2,0.18,3,0.27,122,11.09,1,0.09,48,4.36
Miyazaki,29210,503.62,2440,69.71,1914,54.69,3902,111.49,16480,470.86,965,27.57,5707,163.06,320,9.14,1543,44.09,31,0.89,2249,64.26,667,19.06,5,1,704,140.8,-,-,3,0.43,30,4.29,1,0.14,116,16.57
Kagoshima,32665,355.05,3358,62.19,3807,70.5,5169,95.72,21597,399.94,1073,19.87,6002,111.15,100,1.85,1133,20.98,17,0.31,2346,43.44,4717,87.35,2,0.29,436,62.29,8,0.67,11,0.92,36,3,-,-,109,9.08
Okinawa,33811,593.18,2315,68.09,1266,37.24,1762,51.82,6798,199.94,800,23.53,2182,64.18,60,1.76,561,16.5,124,3.65,420,12.35,223,6.56,10,1.11,1019,113.22,25,3.57,75,10.71,167,23.86,4,0.57,87,12.43
