"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2018",,,,,,"Data collected as of October 3, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,10026,270.97,650,29.55,231,10.5,1906,86.64,5196,236.18,141,6.41,603,27.41,15,0.68,479,21.77,366,16.64,177,8.05,-,-,18,6,12,1.5,48,6,17,2.13,-,-,78,9.75
Okayama,28383,337.89,981,18.17,534,9.89,3320,61.48,13880,257.04,565,10.46,585,10.83,184,3.41,805,14.91,661,12.24,220,4.07,15,1.25,307,25.58,5,1,1,0.2,13,2.6,-,-,30,6
Hiroshima,34203,300.03,1771,24.94,1331,18.75,5212,73.41,17595,247.82,622,8.76,2289,32.24,68,0.96,974,13.72,1574,22.17,300,4.23,20,1.05,701,36.89,7,0.35,5,0.25,51,2.55,2,0.1,377,18.85
Yamaguchi,26793,399.9,2199,46.79,671,14.28,5095,108.4,8598,182.94,426,9.06,2496,53.11,52,1.11,924,19.66,1273,27.09,241,5.13,-,-,194,21.56,5,0.56,6,0.67,35,3.89,-,-,104,11.56
Tokushima,11998,324.27,1370,59.57,394,17.13,1420,61.74,4685,203.7,174,7.57,1114,48.43,137,5.96,638,27.74,714,31.04,99,4.3,-,-,28,7,4,0.57,2,0.29,19,2.71,-,-,2,0.29
Kagawa,15204,330.52,1015,37.59,406,15.04,1876,69.48,6972,258.22,272,10.07,504,18.67,22,0.81,579,21.44,1071,39.67,194,7.19,4,0.8,146,29.2,6,1.2,4,0.8,28,5.6,1,0.2,41,8.2
Ehime,23354,389.23,1732,48.11,404,11.22,3907,108.53,10652,295.89,327,9.08,2490,69.17,58,1.61,920,25.56,861,23.92,243,6.75,1,0.14,551,78.71,1,0.17,1,0.17,101,16.83,-,-,46,7.67
Kochi,20892,435.25,765,25.5,427,14.23,1476,49.2,3942,131.4,217,7.23,946,31.53,122,4.07,412,13.73,376,12.53,54,1.8,-,-,100,33.33,3,0.38,1,0.13,73,9.13,15,1.88,32,4
Fukuoka,90413,458.95,5505,46.26,3026,25.43,14150,118.91,32181,270.43,1965,16.51,10186,85.6,265,2.23,3109,26.13,2958,24.86,1372,11.53,14,0.54,1509,58.04,24,1.6,29,1.93,111,7.4,-,-,79,5.27
Saga,15690,412.89,958,43.55,689,31.32,1277,58.05,3267,148.5,258,11.73,1247,56.68,43,1.95,601,27.32,1151,52.32,66,3,3,1,94,31.33,2,0.33,9,1.5,32,5.33,-,-,56,9.33
Nagasaki,26973,385.33,1580,35.91,661,15.02,3787,86.07,7171,162.98,408,9.27,2410,54.77,38,0.86,728,16.55,792,18,106,2.41,6,0.75,245,30.63,11,0.92,22,1.83,74,6.17,-,-,98,8.17
Kumamoto,29902,373.78,1710,34.2,716,14.32,2573,51.46,13010,260.2,399,7.98,4282,85.64,46,0.92,1330,26.6,1419,28.38,184,3.68,3,0.33,620,68.89,9,0.6,21,1.4,29,1.93,-,-,43,2.87
Oita,27141,467.95,1225,34.03,345,9.58,2223,61.75,15317,425.47,732,20.33,5019,139.42,28,0.78,872,24.22,994,27.61,535,14.86,2,0.4,183,36.6,1,0.09,2,0.18,48,4.36,-,-,25,2.27
Miyazaki,27787,479.09,2304,65.83,1049,29.97,2685,76.71,13318,380.51,526,15.03,5308,151.66,47,1.34,1192,34.06,855,24.43,1128,32.23,1,0.17,597,99.5,2,0.29,-,-,5,0.71,-,-,154,22
Kagoshima,40928,444.87,2948,54.59,2365,43.8,5589,103.5,15945,295.28,669,12.39,4948,91.63,116,2.15,970,17.96,693,12.83,1210,22.41,1,0.14,308,44,4,0.33,5,0.42,11,0.92,-,-,14,1.17
Okinawa,30142,528.81,2447,71.97,814,23.94,2034,59.82,4992,146.82,677,19.91,2076,61.06,79,2.32,597,17.56,317,9.32,152,4.47,6,0.67,819,91,24,3.43,52,7.43,38,5.43,3,0.43,38,5.43
