"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2018",,,,,,"Data collected as of October 24, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tottori,10898,375.79,511,26.89,381,20.05,3706,195.05,5393,283.84,132,6.95,324,17.05,21,1.11,367,19.32,432,22.74,46,2.42,3,0.6,76,15.2,7,1.4,18,3.6,16,3.2,1,0.2,52,10.4
Shimane,10058,271.84,712,32.36,250,11.36,2002,91,5424,246.55,155,7.05,819,37.23,16,0.73,512,23.27,381,17.32,192,8.73,-,-,24,8,14,1.75,50,6.25,19,2.38,-,-,78,9.75
Okayama,28402,338.12,1111,20.57,563,10.43,3466,64.19,14577,269.94,609,11.28,675,12.5,191,3.54,855,15.83,741,13.72,239,4.43,15,1.25,344,28.67,6,1.2,1,0.2,16,3.2,-,-,30,6
Hiroshima,34264,300.56,2022,28.48,1390,19.58,5517,77.7,18443,259.76,657,9.25,2511,35.37,83,1.17,1040,14.65,1656,23.32,331,4.66,20,1.05,739,38.89,7,0.35,6,0.3,66,3.3,2,0.1,377,18.85
Yamaguchi,26804,400.06,2428,51.66,688,14.64,5370,114.26,9119,194.02,450,9.57,2612,55.57,66,1.4,995,21.17,1308,27.83,250,5.32,2,0.22,211,23.44,5,0.56,6,0.67,36,4,-,-,104,11.56
Tokushima,11998,324.27,1529,66.48,409,17.78,1460,63.48,4933,214.48,185,8.04,1145,49.78,145,6.3,696,30.26,781,33.96,100,4.35,-,-,30,7.5,4,0.57,2,0.29,20,2.86,-,-,2,0.29
Kagawa,15210,330.65,1179,43.67,433,16.04,2010,74.44,7231,267.81,284,10.52,625,23.15,28,1.04,616,22.81,1248,46.22,207,7.67,4,0.8,155,31,6,1.2,4,0.8,29,5.8,1,0.2,41,8.2
Ehime,23377,389.62,1903,52.86,412,11.44,4094,113.72,11081,307.81,346,9.61,2763,76.75,65,1.81,988,27.44,948,26.33,254,7.06,1,0.14,581,83,1,0.17,1,0.17,120,20,-,-,46,7.67
Kochi,20894,435.29,1007,33.57,457,15.23,1541,51.37,4081,136.03,226,7.53,1037,34.57,137,4.57,435,14.5,449,14.97,57,1.9,-,-,101,33.67,3,0.38,1,0.13,85,10.63,17,2.13,32,4
Fukuoka,90481,459.29,5926,49.8,3229,27.13,14946,125.6,34301,288.24,2067,17.37,10602,89.09,346,2.91,3352,28.17,3209,26.97,1461,12.28,14,0.54,1613,62.04,24,1.6,32,2.13,121,8.07,-,-,79,5.27
Saga,15579,421.05,1086,49.36,708,32.18,1302,59.18,3384,153.82,263,11.95,1268,57.64,52,2.36,621,28.23,1182,53.73,73,3.32,2,0.67,101,33.67,2,0.4,14,2.8,35,7,-,-,50,10
Nagasaki,26981,391.03,1669,37.93,706,16.05,3939,89.52,7494,170.32,453,10.3,2481,56.39,48,1.09,795,18.07,816,18.55,118,2.68,6,0.75,255,31.88,11,0.92,23,1.92,81,6.75,-,-,98,8.17
Kumamoto,29986,374.83,1980,39.6,764,15.28,2762,55.24,13834,276.68,423,8.46,4399,87.98,48,0.96,1418,28.36,1576,31.52,200,4,4,0.44,691,76.78,9,0.6,22,1.47,33,2.2,-,-,43,2.87
Oita,27161,468.29,1306,36.28,409,11.36,2324,64.56,15996,444.33,781,21.69,5150,143.06,29,0.81,934,25.94,1112,30.89,593,16.47,3,0.6,206,41.2,2,0.18,2,0.18,54,4.91,-,-,25,2.27
Miyazaki,27788,479.1,2489,71.11,1121,32.03,2877,82.2,14276,407.89,570,16.29,5413,154.66,66,1.89,1262,36.06,994,28.4,1170,33.43,1,0.17,677,112.83,2,0.29,-,-,5,0.71,-,-,155,22.14
Kagoshima,40942,445.02,3134,58.04,2499,46.28,5923,109.69,16719,309.61,715,13.24,4989,92.39,133,2.46,1058,19.59,1016,18.81,1244,23.04,1,0.14,363,51.86,4,0.33,6,0.5,11,0.92,-,-,15,1.25
Okinawa,30514,535.33,2473,72.74,846,24.88,2125,62.5,5362,157.71,729,21.44,2352,69.18,104,3.06,631,18.56,339,9.97,167,4.91,10,1.11,895,99.44,26,3.71,57,8.14,40,5.71,3,0.43,40,5.71
