"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2017",,,,,,"Data collected as of September 20, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,8431,172.06,756,25.2,399,13.3,812,27.07,4571,152.37,333,11.1,2273,75.77,31,1.03,475,15.83,10,0.33,491,16.37,1704,56.8,13,3.25,88,22,4,0.36,19,1.73,76,6.91,6,0.55,68,6.18
Tottori,6024,207.72,552,29.05,426,22.42,3956,208.21,3491,183.74,351,18.47,1787,94.05,29,1.53,279,14.68,19,1,566,29.79,813,42.79,2,0.4,145,29,8,1.6,22,4.4,49,9.8,-,-,74,14.8
Shimane,7435,200.95,535,24.32,326,14.82,2188,99.45,4442,201.91,201,9.14,1529,69.5,217,9.86,520,23.64,11,0.5,391,17.77,1136,51.64,-,-,5,1.67,2,0.25,12,1.5,60,7.5,-,-,47,5.88
Okayama,22090,262.98,618,11.44,827,15.31,2094,38.78,11707,216.8,512,9.48,4466,82.7,85,1.57,818,15.15,17,0.31,1025,18.98,695,12.87,10,0.83,325,27.08,2,0.4,4,0.8,45,9,1,0.2,36,7.2
Hiroshima,27162,238.26,1652,23.27,1540,21.69,5941,83.68,13154,185.27,807,11.37,6650,93.66,216,3.04,1027,14.46,40,0.56,960,13.52,891,12.55,9,0.47,582,30.63,6,0.3,8,0.4,124,6.2,1,0.05,109,5.45
Yamaguchi,19686,289.5,1649,34.35,878,18.29,3820,79.58,7493,156.1,463,9.65,4323,90.06,137,2.85,942,19.63,31,0.65,2081,43.35,2577,53.69,-,-,326,36.22,5,0.56,2,0.22,111,12.33,1,0.11,89,9.89
Tokushima,8511,230.03,1100,47.83,520,22.61,1612,70.09,4709,204.74,183,7.96,1556,67.65,80,3.48,591,25.7,8,0.35,650,28.26,608,26.43,1,0.25,30,7.5,-,-,2,0.33,11,1.83,-,-,12,2
Kagawa,9075,193.09,636,22.71,542,19.36,2173,77.61,7560,270,218,7.79,2926,104.5,64,2.29,516,18.43,15,0.54,686,24.5,927,33.11,2,0.4,121,24.2,3,0.6,5,1,79,15.8,-,-,154,30.8
Ehime,16526,270.92,1511,40.84,572,15.46,3749,101.32,10569,285.65,403,10.89,4082,110.32,257,6.95,884,23.89,9,0.24,590,15.95,2196,59.35,-,-,610,76.25,2,0.33,1,0.17,59,9.83,-,-,32,5.33
Kochi,14649,305.19,827,27.57,310,10.33,1947,64.9,4328,144.27,439,14.63,3053,101.77,109,3.63,392,13.07,21,0.7,486,16.2,175,5.83,-,-,12,4,2,0.25,7,0.88,73,9.13,8,1,86,10.75
Fukuoka,72188,364.59,5071,42.26,2450,20.42,15410,128.42,34367,286.39,2264,18.87,11306,94.22,300,2.5,2915,24.29,97,0.81,6578,54.82,2761,23.01,-,-,673,25.88,46,3.07,29,1.93,343,22.87,-,-,52,3.47
Saga,12764,335.89,435,19.77,587,26.68,1575,71.59,3903,177.41,381,17.32,2640,120,41,1.86,612,27.82,8,0.36,1077,48.95,187,8.5,-,-,82,27.33,6,1,11,1.83,34,5.67,1,0.17,124,20.67
Nagasaki,22520,321.71,1560,35.45,416,9.45,4569,103.84,6668,151.55,403,9.16,3071,69.8,29,0.66,726,16.5,16,0.36,1037,23.57,777,17.66,7,0.88,83,10.38,1,0.08,28,2.33,97,8.08,-,-,127,10.58
Kumamoto,24208,302.6,1461,29.22,1060,21.2,3753,75.06,13956,279.12,728,14.56,5209,104.18,93,1.86,1258,25.16,9,0.18,2688,53.76,1016,20.32,5,0.56,466,51.78,15,1,33,2.2,85,5.67,-,-,124,8.27
Oita,20193,348.16,691,19.19,562,15.61,4356,121,15793,438.69,582,16.17,4521,125.58,35,0.97,948,26.33,20,0.56,1773,49.25,864,24,-,-,122,24.4,1,0.09,2,0.18,96,8.73,1,0.09,44,4
Miyazaki,23083,397.98,1356,38.74,1037,29.63,2980,85.14,11946,341.31,740,21.14,5196,148.46,303,8.66,1127,32.2,9,0.26,2022,57.77,343,9.8,4,0.8,433,86.6,-,-,1,0.14,24,3.43,1,0.14,114,16.29
Kagoshima,27629,300.32,2445,45.28,2736,50.67,3627,67.17,16348,302.74,765,14.17,4320,80,89,1.65,812,15.04,12,0.22,1825,33.8,3522,65.22,1,0.14,318,45.43,8,0.67,11,0.92,29,2.42,-,-,109,9.08
Okinawa,27014,473.93,2143,63.03,1023,30.09,1275,37.5,5522,162.41,585,17.21,1291,37.97,48,1.41,398,11.71,97,2.85,316,9.29,174,5.12,10,1.11,607,67.44,16,2.29,64,9.14,139,19.86,1,0.14,86,12.29
