"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2016",,,,,,"Data collected as of May 9, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,99,1.18,4,,18,0.33,78,1.44,296,5.48,8,0.15,-,-,15,0.28,27,0.5,-,-,-,-,64,1.19,1,0.08,1,0.08,-,-,-,-,-,-,-,-,-,-
Hiroshima,138,1.21,21,,33,0.46,154,2.17,572,8.06,18,0.25,6,0.08,33,0.46,41,0.58,1,0.01,17,0.24,35,0.49,1,0.05,17,0.89,-,-,-,-,2,0.1,-,-,26,1.24
Yamaguchi,105,1.54,3,,16,0.33,127,2.65,221,4.6,17,0.35,2,0.04,22,0.46,24,0.5,3,0.06,20,0.42,30,0.63,-,-,5,0.56,-,-,-,-,7,0.78,-,-,4,0.44
Tokushima,28,0.76,8,,13,0.57,24,1.04,136,5.91,6,0.26,1,0.04,6,0.26,19,0.83,-,-,-,-,21,0.91,-,-,1,0.25,-,-,1,0.14,-,-,-,-,1,0.14
Kagawa,65,1.38,-,,12,0.43,78,2.79,149,5.32,3,0.11,8,0.29,19,0.68,15,0.54,-,-,7,0.25,22,0.79,-,-,3,0.6,-,-,1,0.2,3,0.6,-,-,7,1.4
Ehime,115,1.89,2,,9,0.24,119,3.22,243,6.57,18,0.49,4,0.11,18,0.49,29,0.78,3,0.08,-,-,8,0.22,1,0.13,13,1.63,-,-,-,-,2,0.33,-,-,2,0.33
Kochi,83,1.73,14,,2,0.07,61,2.03,142,4.73,4,0.13,-,-,6,0.2,10,0.33,2,0.07,1,0.03,21,0.7,-,-,-,-,-,-,-,-,6,0.75,-,-,6,0.75
Fukuoka,433,2.19,75,,72,0.6,315,2.63,1026,8.55,43,0.36,4,0.03,47,0.39,97,0.81,2,0.02,15,0.13,110,0.92,-,-,24,0.92,-,-,2,0.13,21,1.4,-,-,2,0.13
Saga,107,2.74,4,,16,0.7,44,1.91,142,6.17,6,0.26,3,0.13,16,0.7,19,0.83,1,0.04,2,0.09,43,1.87,-,-,-,-,-,-,-,-,7,1.17,-,-,2,0.33
Nagasaki,268,3.83,9,,16,0.36,106,2.41,207,4.7,22,0.5,1,0.02,14,0.32,30,0.68,-,-,6,0.14,37,0.84,2,0.25,14,1.75,-,-,-,-,5,0.42,-,-,5,0.42
Kumamoto,128,1.62,5,,20,0.41,38,0.78,268,5.47,16,0.33,3,0.06,23,0.47,30,0.61,2,0.04,14,0.29,70,1.43,-,-,17,1.89,-,-,-,-,3,0.2,-,-,3,0.2
Oita,214,3.69,13,,16,0.44,112,3.11,347,9.64,33,0.92,3,0.08,9,0.25,40,1.11,-,-,3,0.08,17,0.47,-,-,3,0.6,-,-,-,-,3,0.27,-,-,1,0.09
Miyazaki,119,2.02,13,,28,0.78,90,2.5,391,10.86,17,0.47,3,0.08,18,0.5,37,1.03,1,0.03,-,-,134,3.72,-,-,19,3.17,-,-,1,0.14,8,1.14,-,-,10,1.43
Kagoshima,428,4.6,34,,41,0.75,148,2.69,534,9.71,38,0.69,4,0.07,14,0.25,35,0.64,1,0.02,4,0.07,102,1.85,-,-,10,1.43,-,-,-,-,4,0.33,-,-,14,1.17
Okinawa,313,5.4,92,,9,0.26,21,0.62,111,3.26,25,0.74,24,0.71,5,0.15,8,0.24,2,0.06,3,0.09,51,1.5,-,-,10,1.11,2,0.29,1,0.14,8,1.14,-,-,1,0.14
