"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2012",,,,,,"Data collected as of August 15, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,-,-,22,,4,0.11,61,1.61,160,4.21,17,0.45,5,0.13,7,0.18,42,1.11,1,0.03,63,1.66,31,0.82,-,-,2,0.29,-,-,1,0.11,3,0.33,-,-
Tokushima,2,0.07,2,,7,0.37,20,1.05,73,3.84,20,1.05,6,0.32,2,0.11,29,1.53,2,0.11,49,2.58,7,0.37,-,-,-,-,-,-,1,0.2,2,0.4,-,-
Kagawa,-,-,12,,-,-,11,0.41,130,4.81,8,0.3,2,0.07,1,0.04,17,0.63,-,-,52,1.93,7,0.26,-,-,2,0.67,-,-,2,0.4,2,0.4,-,-
Ehime,-,-,15,,16,0.43,31,0.84,147,3.97,21,0.57,8,0.22,11,0.3,30,0.81,-,-,47,1.27,12,0.32,-,-,9,1.13,-,-,-,-,3,0.5,-,-
Kochi,-,-,-,,5,0.17,12,0.4,58,1.93,30,1,-,-,7,0.23,18,0.6,16,0.53,34,1.13,7,0.23,-,-,1,0.33,-,-,-,-,4,0.5,1,0.13
Fukuoka,13,0.07,121,,51,0.43,72,0.6,296,2.47,62,0.52,8,0.07,1,0.01,62,0.52,8,0.07,96,0.8,52,0.43,-,-,6,0.23,-,-,1,0.07,1,0.07,1,0.07
Saga,-,-,7,,7,0.3,28,1.22,32,1.39,18,0.78,2,0.09,-,-,20,0.87,-,-,48,2.09,7,0.3,-,-,2,0.5,-,-,-,-,4,0.67,-,-
Nagasaki,6,0.09,7,,11,0.25,37,0.84,129,2.93,20,0.45,5,0.11,-,-,23,0.52,-,-,42,0.95,21,0.48,-,-,2,0.25,-,-,2,0.17,3,0.25,-,-
Kumamoto,-,-,-,,40,0.87,27,0.59,210,4.57,35,0.76,13,0.28,3,0.07,37,0.8,-,-,119,2.59,32,0.7,-,-,24,3.43,-,-,-,-,2,0.13,-,-
Oita,-,-,2,,6,0.17,33,0.92,160,4.44,13,0.36,10,0.28,2,0.06,19,0.53,1,0.03,50,1.39,21,0.58,-,-,1,0.2,-,-,-,-,6,0.55,-,-
Miyazaki,3,0.06,15,,18,0.58,41,1.32,187,6.03,13,0.42,92,2.97,9,0.29,30,0.97,-,-,140,4.52,33,1.06,-,-,4,1.33,-,-,-,-,-,-,-,-
Kagoshima,16,0.17,94,,66,1.2,45,0.82,174,3.16,25,0.45,4,0.07,4,0.07,31,0.56,-,-,148,2.69,43,0.78,-,-,4,0.57,-,-,-,-,10,0.83,-,-
Okinawa,879,15.16,57,,7,0.21,15,0.44,85,2.5,23,0.68,38,1.12,6,0.18,12,0.35,1,0.03,6,0.18,12,0.35,1,0.1,35,3.5,-,-,-,-,14,2,-,-
