"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29th week, 2015",,,,,,"Data collected as of July 22, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,-,-,2,,10,0.19,40,0.74,273,5.06,16,0.3,425,7.87,10,0.19,16,0.3,-,-,165,3.06,37,0.69,-,-,5,0.42,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,2,0.02,10,,40,0.56,160,2.22,357,4.96,15,0.21,344,4.78,21,0.29,40,0.56,2,0.03,234,3.25,81,1.13,3,0.16,21,1.11,-,-,-,-,7,0.33,-,-,1,0.05
Yamaguchi,10,0.15,43,,14,0.3,161,3.43,231,4.91,10,0.21,486,10.34,28,0.6,44,0.94,-,-,84,1.79,11,0.23,-,-,3,0.33,1,0.11,-,-,-,-,-,-,-,-
Tokushima,10,0.26,-,,9,0.39,23,1,100,4.35,11,0.48,143,6.22,3,0.13,26,1.13,-,-,27,1.17,5,0.22,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,2,0.04,-,,20,0.71,39,1.39,110,3.93,9,0.32,279,9.96,26,0.93,16,0.57,3,0.11,108,3.86,9,0.32,-,-,-,-,-,-,1,0.2,6,1.2,-,-,1,0.2
Ehime,5,0.08,1,,11,0.3,117,3.16,286,7.73,16,0.43,159,4.3,7,0.19,30,0.81,1,0.03,264,7.14,16,0.43,-,-,11,1.38,-,-,-,-,-,-,-,-,-,-
Kochi,1,0.02,9,,2,0.07,60,2,63,2.1,14,0.47,73,2.43,5,0.17,13,0.43,1,0.03,59,1.97,7,0.23,-,-,1,0.33,-,-,-,-,6,0.75,1,0.13,-,-
Fukuoka,3,0.02,77,,65,0.54,318,2.65,631,5.26,49,0.41,1059,8.83,145,1.21,96,0.8,-,-,820,6.83,138,1.15,-,-,49,1.88,2,0.13,5,0.33,3,0.2,-,-,-,-
Saga,-,-,2,,8,0.35,48,2.09,53,2.3,5,0.22,171,7.43,28,1.22,15,0.65,-,-,188,8.17,45,1.96,-,-,-,-,-,-,-,-,3,0.5,-,-,-,-
Nagasaki,2,0.03,6,,4,0.09,193,4.39,154,3.5,11,0.25,194,4.41,44,1,21,0.48,1,0.02,44,1,72,1.64,1,0.13,1,0.13,1,0.08,2,0.17,5,0.42,-,-,-,-
Kumamoto,3,0.04,4,,8,0.16,41,0.82,319,6.38,19,0.38,392,7.84,21,0.42,37,0.74,26,0.52,158,3.16,43,0.86,-,-,36,4,-,-,4,0.27,3,0.2,-,-,-,-
Oita,9,0.16,10,,7,0.19,158,4.39,408,11.33,20,0.56,290,8.06,110,3.06,32,0.89,-,-,277,7.69,20,0.56,-,-,4,0.8,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,6,0.1,28,,27,0.75,46,1.28,217,6.03,24,0.67,415,11.53,9,0.25,30,0.83,1,0.03,151,4.19,10,0.28,-,-,21,3.5,-,-,-,-,-,-,1,0.14,2,0.29
Kagoshima,38,0.41,61,,43,0.78,170,3.09,303,5.51,14,0.25,730,13.27,62,1.13,31,0.56,-,-,213,3.87,17,0.31,-,-,2,0.29,-,-,-,-,3,0.25,-,-,-,-
Okinawa,301,5.19,72,,16,0.47,28,0.82,65,1.91,13,0.38,53,1.56,11,0.32,18,0.53,5,0.15,14,0.41,97,2.85,1,0.1,6,0.6,1,0.14,-,-,3,0.43,-,-,1,0.14
