"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2018",,,,,,"Data collected as of January 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,3651,53.69,70,,15,0.31,82,1.71,269,5.6,7,0.15,8,0.17,2,0.04,21,0.44,1,0.02,18,0.38,-,-,2,0.22,-,-,-,-,3,0.33,-,-,3,0.33
Tokushima,1428,38.59,14,,9,0.39,47,2.04,103,4.48,4,0.17,3,0.13,1,0.04,13,0.57,-,-,7,0.3,-,-,2,0.5,-,-,-,-,-,-,-,-,-,-
Kagawa,1892,40.26,12,,6,0.21,64,2.29,140,5,-,-,1,0.04,1,0.04,10,0.36,2,0.07,6,0.21,-,-,-,-,-,-,-,-,-,-,-,-,1,0.2
Ehime,3049,49.98,17,,4,0.11,144,3.89,249,6.73,5,0.14,4,0.11,1,0.03,18,0.49,1,0.03,14,0.38,-,-,7,0.88,-,-,-,-,5,0.83,-,-,-,-
Kochi,2575,53.65,8,,5,0.17,44,1.47,106,3.53,5,0.17,15,0.5,1,0.03,5,0.17,1,0.03,1,0.03,-,-,1,0.33,-,-,-,-,2,0.25,-,-,-,-
Fukuoka,15315,77.35,95,,48,0.4,448,3.73,796,6.63,38,0.32,59,0.49,4,0.03,67,0.56,3,0.03,32,0.27,-,-,21,0.81,-,-,-,-,4,0.27,-,-,-,-
Saga,2417,61.97,17,,14,0.61,45,1.96,92,4,1,0.04,25,1.09,3,0.13,16,0.7,-,-,1,0.04,-,-,5,1.25,-,-,-,-,1,0.17,-,-,-,-
Nagasaki,3889,55.56,14,,15,0.34,148,3.36,173,3.93,14,0.32,83,1.89,-,-,14,0.32,1,0.02,3,0.07,-,-,4,0.5,-,-,-,-,3,0.25,-,-,-,-
Kumamoto,4444,55.55,20,,23,0.46,61,1.22,376,7.52,17,0.34,17,0.34,-,-,22,0.44,4,0.08,3,0.06,-,-,10,1.11,-,-,-,-,-,-,-,-,-,-
Oita,4336,74.76,16,,11,0.31,75,2.08,576,16,24,0.67,22,0.61,-,-,16,0.44,1,0.03,8,0.22,-,-,3,0.6,-,-,-,-,2,0.18,-,-,1,0.09
Miyazaki,3629,61.51,39,,23,0.64,53,1.47,346,9.61,6,0.17,31,0.86,3,0.08,27,0.75,1,0.03,22,0.61,-,-,14,2.33,-,-,-,-,-,-,-,-,1,0.14
Kagoshima,5827,62.66,52,,47,0.85,162,2.95,506,9.2,28,0.51,52,0.95,1,0.02,16,0.29,2,0.04,42,0.76,-,-,5,0.71,-,-,-,-,1,0.08,-,-,-,-
Okinawa,3238,56.81,10,,6,0.18,42,1.24,87,2.56,15,0.44,17,0.5,-,-,9,0.26,1,0.03,4,0.12,-,-,15,1.67,-,-,3,0.43,-,-,-,-,-,-
