"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2018",,,,,,"Data collected as of April 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,188,1.63,22,0.31,23,0.32,97,1.35,552,7.67,21,0.29,3,0.04,-,-,21,0.29,4,0.06,7,0.1,-,-,14,0.74,1,0.05,-,-,1,0.05,-,-,30,1.43
Yamaguchi,81,1.19,25,0.52,17,0.35,105,2.19,217,4.52,14,0.29,11,0.23,1,0.02,29,0.6,-,-,9,0.19,-,-,2,0.22,1,0.11,-,-,-,-,-,-,12,1.33
Tokushima,55,1.49,18,0.78,10,0.43,38,1.65,96,4.17,5,0.22,-,-,1,0.04,13,0.57,-,-,-,-,-,-,2,0.5,-,-,-,-,-,-,-,-,-,-
Kagawa,91,1.94,6,0.21,8,0.29,34,1.21,133,4.75,10,0.36,-,-,3,0.11,15,0.54,1,0.04,-,-,-,-,4,0.8,-,-,-,-,2,0.4,-,-,3,0.6
Ehime,144,2.36,31,0.84,-,-,79,2.14,276,7.46,6,0.16,1,0.03,-,-,20,0.54,1,0.03,7,0.19,-,-,13,1.63,-,-,-,-,1,0.17,-,-,3,0.5
Kochi,41,0.85,8,0.27,1,0.03,20,0.67,103,3.43,5,0.17,3,0.1,1,0.03,9,0.3,-,-,2,0.07,-,-,-,-,-,-,-,-,2,0.25,1,0.13,2,0.25
Fukuoka,218,1.1,82,0.68,48,0.4,323,2.69,782,6.52,58,0.48,69,0.58,6,0.05,68,0.57,3,0.03,22,0.18,-,-,29,1.12,2,0.13,-,-,-,-,-,-,3,0.2
Saga,50,1.28,4,0.17,7,0.3,29,1.26,102,4.43,12,0.52,22,0.96,-,-,19,0.83,-,-,2,0.09,-,-,2,0.5,-,-,-,-,1,0.17,-,-,3,0.5
Nagasaki,108,1.54,17,0.39,11,0.25,113,2.57,221,5.02,11,0.25,65,1.48,-,-,17,0.39,-,-,-,-,-,-,4,0.5,-,-,-,-,1,0.08,-,-,4,0.33
Kumamoto,85,1.06,16,0.32,12,0.24,50,1,256,5.12,7,0.14,31,0.62,1,0.02,35,0.7,2,0.04,5,0.1,-,-,4,0.44,-,-,-,-,-,-,-,-,5,0.33
Oita,101,1.74,6,0.17,6,0.17,54,1.5,233,6.47,12,0.33,21,0.58,1,0.03,26,0.72,-,-,17,0.47,-,-,5,1,-,-,-,-,2,0.18,-,-,-,-
Miyazaki,58,0.98,34,0.94,16,0.44,68,1.89,341,9.47,15,0.42,81,2.25,-,-,33,0.92,2,0.06,31,0.86,-,-,7,1.17,-,-,-,-,-,-,-,-,3,0.43
Kagoshima,67,0.73,23,0.43,62,1.15,149,2.76,305,5.65,18,0.33,34,0.63,-,-,24,0.44,3,0.06,32,0.59,-,-,9,1.29,1,0.08,-,-,-,-,-,-,-,-
Okinawa,269,4.72,50,1.47,7,0.21,64,1.88,119,3.5,30,0.88,13,0.38,3,0.09,12,0.35,3,0.09,3,0.09,-,-,10,1.11,-,-,-,-,3,0.43,-,-,-,-
