"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2015",,,,,,"Data collected as of November 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,2,0.02,43,,5,0.09,41,0.76,270,5,16,0.3,7,0.13,17,0.31,19,0.35,1,0.02,-,-,34,0.63,-,-,6,0.5,-,-,-,-,-,-,-,-,1,0.2
Hiroshima,23,0.2,85,,16,0.22,169,2.35,719,9.99,17,0.24,69,0.96,49,0.68,30,0.42,6,0.08,7,0.1,91,1.26,-,-,20,1.05,-,-,1,0.05,7,0.33,-,-,2,0.1
Yamaguchi,6,0.09,52,,12,0.26,145,3.09,291,6.19,11,0.23,63,1.34,34,0.72,28,0.6,1,0.02,9,0.19,31,0.66,-,-,7,0.78,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,47,,1,0.04,14,0.61,190,8.26,13,0.57,4,0.17,21,0.91,12,0.52,1,0.04,-,-,2,0.09,-,-,2,0.5,-,-,-,-,-,-,-,-,2,0.29
Kagawa,-,-,43,,8,0.29,28,1,94,3.36,11,0.39,13,0.46,18,0.64,10,0.36,1,0.04,2,0.07,8,0.29,-,-,3,0.6,-,-,-,-,3,0.6,-,-,-,-
Ehime,5,0.08,45,,9,0.24,138,3.73,209,5.65,4,0.11,44,1.19,14,0.38,26,0.7,-,-,1,0.03,13,0.35,-,-,9,1.13,-,-,-,-,2,0.33,-,-,-,-
Kochi,8,0.17,15,,2,0.07,55,1.83,66,2.2,10,0.33,10,0.33,7,0.23,13,0.43,-,-,2,0.07,8,0.27,-,-,-,-,-,-,-,-,6,0.75,1,0.13,10,1.25
Fukuoka,30,0.15,73,,72,0.6,356,2.97,1215,10.13,49,0.41,38,0.32,90,0.75,113,0.94,1,0.01,5,0.04,182,1.52,-,-,43,1.65,2,0.13,5,0.33,20,1.33,-,-,-,-
Saga,-,-,21,,8,0.35,42,1.83,203,8.83,9,0.39,12,0.52,28,1.22,15,0.65,-,-,-,-,59,2.57,-,-,2,0.5,1,0.17,-,-,8,1.33,-,-,2,0.33
Nagasaki,3,0.04,16,,7,0.16,88,2,407,9.25,6,0.14,4,0.09,40,0.91,16,0.36,-,-,5,0.11,58,1.32,-,-,21,2.63,-,-,-,-,10,0.83,-,-,-,-
Kumamoto,1,0.01,38,,27,0.54,92,1.84,544,10.88,9,0.18,12,0.24,78,1.56,40,0.8,-,-,6,0.12,64,1.28,1,0.11,38,4.22,1,0.07,1,0.07,9,0.6,-,-,2,0.13
Oita,3,0.05,8,,10,0.28,149,4.14,430,11.94,21,0.58,34,0.94,74,2.06,38,1.06,-,-,1,0.03,16,0.44,-,-,6,1.2,-,-,-,-,1,0.09,-,-,-,-
Miyazaki,1,0.02,29,,26,0.72,78,2.17,490,13.61,28,0.78,10,0.28,30,0.83,33,0.92,-,-,-,-,51,1.42,-,-,17,2.83,-,-,-,-,4,0.57,-,-,-,-
Kagoshima,6,0.06,12,,51,0.93,182,3.31,738,13.42,35,0.64,11,0.2,68,1.24,24,0.44,1,0.02,4,0.07,49,0.89,-,-,13,1.86,1,0.08,-,-,1,0.08,-,-,1,0.08
Okinawa,60,1.03,24,,18,0.53,32,0.94,83,2.44,15,0.44,4,0.12,2,0.06,17,0.5,3,0.09,2,0.06,61,1.79,-,-,7,0.7,-,-,2,0.29,1,0.14,-,-,-,-
