"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2018",,,,,,"Data collected as of June 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,2,0.03,45,0.96,25,0.53,193,4.11,218,4.64,15,0.32,161,3.43,-,-,37,0.79,69,1.47,3,0.06,-,-,3,0.33,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,21,0.91,23,1,54,2.35,169,7.35,6,0.26,33,1.43,11,0.48,9,0.39,4,0.17,-,-,-,-,1,0.25,-,-,-,-,1,0.14,-,-,-,-
Kagawa,-,-,3,0.11,25,0.89,58,2.07,229,8.18,4,0.14,15,0.54,-,-,23,0.82,55,1.96,8,0.29,1,0.2,1,0.2,-,-,-,-,-,-,-,-,-,-
Ehime,-,-,5,0.14,27,0.73,110,2.97,351,9.49,15,0.41,17,0.46,-,-,29,0.78,37,1,5,0.14,-,-,18,2.25,-,-,-,-,3,0.5,-,-,1,0.17
Kochi,-,-,-,-,17,0.57,46,1.53,109,3.63,9,0.3,22,0.73,4,0.13,13,0.43,4,0.13,1,0.03,-,-,-,-,1,0.13,-,-,1,0.13,-,-,2,0.25
Fukuoka,38,0.19,68,0.57,166,1.38,443,3.69,917,7.64,58,0.48,776,6.47,9,0.08,99,0.83,91,0.76,53,0.44,-,-,51,1.96,1,0.07,1,0.07,-,-,-,-,-,-
Saga,2,0.05,8,0.35,25,1.09,49,2.13,97,4.22,13,0.57,55,2.39,-,-,20,0.87,59,2.57,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17
Nagasaki,3,0.04,26,0.59,30,0.68,96,2.18,181,4.11,6,0.14,155,3.52,-,-,18,0.41,39,0.89,2,0.05,-,-,5,0.63,2,0.17,-,-,5,0.42,-,-,3,0.25
Kumamoto,12,0.15,3,0.06,19,0.38,89,1.78,401,8.02,8,0.16,270,5.4,1,0.02,37,0.74,32,0.64,12,0.24,-,-,16,1.78,-,-,1,0.07,-,-,-,-,2,0.13
Oita,21,0.36,5,0.14,11,0.31,60,1.67,422,11.72,28,0.78,540,15,-,-,23,0.64,28,0.78,12,0.33,-,-,8,1.6,-,-,-,-,-,-,-,-,-,-
Miyazaki,17,0.29,13,0.37,35,1,90,2.57,302,8.63,9,0.26,360,10.29,-,-,39,1.11,15,0.43,42,1.2,-,-,17,2.83,-,-,-,-,-,-,-,-,-,-
Kagoshima,36,0.39,19,0.35,93,1.72,175,3.24,418,7.74,12,0.22,377,6.98,3,0.06,30,0.56,11,0.2,26,0.48,-,-,7,1,-,-,-,-,-,-,-,-,1,0.08
Okinawa,99,1.74,155,4.56,29,0.85,53,1.56,129,3.79,13,0.38,78,2.29,-,-,10,0.29,6,0.18,3,0.09,-,-,20,2.22,-,-,1,0.14,3,0.43,-,-,2,0.29
