"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2015",,,,,,"Data collected as of October 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,1,0.01,40,,7,0.13,42,0.78,240,4.44,16,0.3,20,0.37,20,0.37,13,0.24,3,0.06,3,0.06,57,1.06,-,-,8,0.67,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,20,0.17,112,,14,0.19,187,2.6,373,5.18,14,0.19,69,0.96,37,0.51,30,0.42,3,0.04,10,0.14,87,1.21,-,-,16,0.84,-,-,-,-,8,0.38,-,-,1,0.05
Yamaguchi,4,0.06,74,,13,0.27,148,3.08,267,5.56,6,0.13,80,1.67,19,0.4,30,0.63,-,-,17,0.35,20,0.42,-,-,7,0.78,-,-,-,-,4,0.44,-,-,-,-
Tokushima,2,0.05,70,,3,0.13,24,1.04,150,6.52,17,0.74,9,0.39,7,0.3,13,0.57,1,0.04,1,0.04,10,0.43,-,-,2,0.5,-,-,-,-,3,0.43,-,-,-,-
Kagawa,-,-,34,,8,0.29,27,0.96,101,3.61,15,0.54,23,0.82,17,0.61,13,0.46,1,0.04,2,0.07,8,0.29,-,-,2,0.4,-,-,-,-,11,2.2,-,-,-,-
Ehime,3,0.05,44,,1,0.03,122,3.3,180,4.86,8,0.22,75,2.03,10,0.27,29,0.78,-,-,1,0.03,20,0.54,-,-,28,3.5,-,-,-,-,9,1.5,-,-,-,-
Kochi,-,-,37,,1,0.03,32,1.07,53,1.77,7,0.23,36,1.2,-,-,7,0.23,-,-,3,0.1,4,0.13,-,-,-,-,-,-,-,-,4,0.5,1,0.13,-,-
Fukuoka,40,0.2,118,,84,0.7,313,2.61,949,7.91,53,0.44,77,0.64,89,0.74,90,0.75,3,0.03,4,0.03,156,1.3,2,0.08,77,2.96,1,0.07,2,0.14,8,0.57,-,-,-,-
Saga,3,0.08,19,,8,0.35,28,1.22,97,4.22,4,0.17,13,0.57,20,0.87,10,0.43,-,-,2,0.09,55,2.39,-,-,-,-,-,-,-,-,8,1.33,-,-,2,0.33
Nagasaki,2,0.03,25,,10,0.23,117,2.66,176,4,11,0.25,8,0.18,31,0.7,32,0.73,-,-,1,0.02,75,1.7,-,-,27,3.38,-,-,-,-,9,0.75,-,-,-,-
Kumamoto,-,-,55,,24,0.48,91,1.82,488,9.76,6,0.12,38,0.76,48,0.96,33,0.66,-,-,14,0.28,46,0.92,-,-,37,4.11,-,-,1,0.07,8,0.53,-,-,1,0.07
Oita,-,-,11,,13,0.36,108,3,302,8.39,19,0.53,52,1.44,73,2.03,27,0.75,2,0.06,5,0.14,21,0.58,-,-,3,0.6,-,-,-,-,5,0.45,-,-,-,-
Miyazaki,2,0.03,39,,23,0.64,81,2.25,454,12.61,24,0.67,21,0.58,27,0.75,37,1.03,-,-,5,0.14,46,1.28,-,-,33,5.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,4,0.04,9,,46,0.84,170,3.09,516,9.38,24,0.44,18,0.33,70,1.27,31,0.56,1,0.02,5,0.09,34,0.62,-,-,10,1.43,1,0.08,-,-,5,0.42,-,-,-,-
Okinawa,51,0.88,5,,14,0.41,28,0.82,88,2.59,10,0.29,8,0.24,7,0.21,7,0.21,3,0.09,5,0.15,110,3.24,-,-,9,0.9,2,0.29,1,0.14,7,1,-,-,-,-
