"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2018",,,,,,"Data collected as of February 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,1794,26.38,27,0.56,22,0.46,174,3.63,249,5.19,7,0.15,2,0.04,1,0.02,12,0.25,-,-,2,0.04,-,-,7,0.78,1,0.11,-,-,1,0.11,-,-,2,0.22
Tokushima,988,26.7,15,0.65,13,0.57,42,1.83,110,4.78,1,0.04,-,-,2,0.09,9,0.39,-,-,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,1017,21.64,9,0.32,4,0.14,66,2.36,178,6.36,2,0.07,1,0.04,-,-,9,0.32,1,0.04,3,0.11,-,-,2,0.4,-,-,1,0.2,3,0.6,-,-,-,-
Ehime,1771,29.03,20,0.54,7,0.19,105,2.84,264,7.14,4,0.11,3,0.08,1,0.03,24,0.65,-,-,5,0.14,-,-,13,1.63,-,-,-,-,5,0.83,-,-,1,0.17
Kochi,1549,32.27,11,0.37,3,0.1,45,1.5,115,3.83,5,0.17,8,0.27,2,0.07,4,0.13,1,0.03,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,4,0.5
Fukuoka,3996,20.18,110,0.92,51,0.43,470,3.92,818,6.82,30,0.25,31,0.26,2,0.02,64,0.53,3,0.03,21,0.18,-,-,18,0.69,-,-,-,-,-,-,-,-,-,-
Saga,850,21.79,7,0.3,9,0.39,52,2.26,69,3,5,0.22,5,0.22,1,0.04,16,0.7,-,-,-,-,-,-,1,0.25,-,-,-,-,1,0.17,-,-,1,0.17
Nagasaki,1504,21.49,9,0.2,10,0.23,127,2.89,228,5.18,22,0.5,32,0.73,-,-,11,0.25,-,-,3,0.07,-,-,6,0.75,-,-,1,0.08,3,0.25,-,-,2,0.17
Kumamoto,1520,19,22,0.44,40,0.8,64,1.28,403,8.06,6,0.12,6,0.12,3,0.06,30,0.6,7,0.14,3,0.06,-,-,12,1.33,1,0.07,-,-,1,0.07,-,-,5,0.33
Oita,1314,22.66,6,0.17,5,0.14,65,1.81,535,14.86,12,0.33,10,0.28,2,0.06,13,0.36,1,0.03,7,0.19,-,-,3,0.6,-,-,-,-,3,0.27,-,-,2,0.18
Miyazaki,1839,31.17,34,0.94,17,0.47,67,1.86,360,10,4,0.11,28,0.78,1,0.03,31,0.86,3,0.08,30,0.83,-,-,11,1.83,-,-,-,-,-,-,-,-,14,2
Kagoshima,2513,27.02,36,0.65,58,1.05,227,4.13,448,8.15,26,0.47,27,0.49,2,0.04,18,0.33,-,-,38,0.69,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
Okinawa,2503,43.91,9,0.26,8,0.24,69,2.03,122,3.59,20,0.59,12,0.35,1,0.03,4,0.12,-,-,8,0.24,-,-,9,1,2,0.29,2,0.29,1,0.14,-,-,7,1
