"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2012",,,,,,"Data collected as of October 24, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,1,0.01,101,,3,0.06,142,2.96,177,3.69,36,0.75,2,0.04,2,0.04,51,1.06,1,0.02,10,0.21,5,0.1,-,-,2,0.22,-,-,1,0.11,13,1.44,-,-
Tokushima,-,-,22,,8,0.35,24,1.04,117,5.09,23,1,-,-,4,0.17,20,0.87,-,-,1,0.04,4,0.17,-,-,-,-,-,-,-,-,1,0.2,-,-
Kagawa,-,-,54,,6,0.2,9,0.3,130,4.33,14,0.47,25,0.83,1,0.03,18,0.6,-,-,21,0.7,7,0.23,-,-,1,0.33,1,0.2,-,-,-,-,-,-
Ehime,-,-,28,,-,-,43,1.16,162,4.38,26,0.7,18,0.49,4,0.11,33,0.89,1,0.03,17,0.46,17,0.46,-,-,6,0.75,-,-,-,-,10,1.67,-,-
Kochi,-,-,26,,1,0.03,22,0.73,70,2.33,25,0.83,1,0.03,3,0.1,10,0.33,1,0.03,3,0.1,4,0.13,-,-,1,0.33,-,-,-,-,5,0.63,1,0.13
Fukuoka,4,0.02,231,,50,0.42,132,1.1,892,7.43,84,0.7,27,0.23,-,-,99,0.83,4,0.03,5,0.04,98,0.82,1,0.04,14,0.54,1,0.07,-,-,2,0.13,-,-
Saga,3,0.08,50,,25,1.09,28,1.22,63,2.74,15,0.65,1,0.04,-,-,13,0.57,-,-,1,0.04,13,0.57,-,-,1,0.25,-,-,-,-,4,0.67,-,-
Nagasaki,1,0.01,74,,7,0.16,38,0.86,160,3.64,43,0.98,2,0.05,4,0.09,24,0.55,1,0.02,2,0.05,27,0.61,-,-,1,0.13,-,-,-,-,7,0.58,-,-
Kumamoto,10,0.13,79,,18,0.38,35,0.73,292,6.08,21,0.44,12,0.25,1,0.02,38,0.79,-,-,11,0.23,27,0.56,-,-,14,1.56,-,-,-,-,5,0.33,-,-
Oita,-,-,51,,4,0.11,47,1.31,238,6.61,34,0.94,25,0.69,-,-,26,0.72,2,0.06,14,0.39,91,2.53,-,-,3,0.6,-,-,-,-,8,0.73,-,-
Miyazaki,1,0.02,93,,23,0.64,50,1.39,195,5.42,33,0.92,120,3.33,1,0.03,25,0.69,-,-,6,0.17,22,0.61,-,-,9,1.5,-,-,-,-,1,0.14,-,-
Kagoshima,14,0.15,24,,28,0.51,31,0.56,241,4.38,45,0.82,115,2.09,1,0.02,35,0.64,-,-,14,0.25,38,0.69,-,-,6,0.86,-,-,-,-,5,0.42,-,-
Okinawa,105,1.81,13,,1,0.03,16,0.47,237,6.97,16,0.47,9,0.26,-,-,24,0.71,4,0.12,7,0.21,12,0.35,-,-,22,2.2,-,-,-,-,7,1,-,-
