"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2017",,,,,,"Data collected as of February 15, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,3029,26.34,29,,37,0.51,140,1.94,264,3.67,23,0.32,15,0.21,1,0.01,21,0.29,-,-,2,0.03,16,0.22,-,-,13,0.68,1,0.05,-,-,5,0.24,-,-,-,-
Yamaguchi,2458,36.15,19,,28,0.58,95,1.98,159,3.31,9,0.19,6,0.13,6,0.13,11,0.23,-,-,2,0.04,88,1.83,-,-,4,0.44,1,0.11,-,-,3,0.33,-,-,-,-
Tokushima,895,24.19,4,,12,0.52,26,1.13,114,4.96,1,0.04,4,0.17,1,0.04,13,0.57,-,-,-,-,19,0.83,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kagawa,945,20.11,22,,8,0.29,56,2,234,8.36,5,0.18,6,0.21,-,-,6,0.21,-,-,3,0.11,28,1,-,-,-,-,-,-,1,0.2,1,0.2,-,-,1,0.2
Ehime,1571,25.75,16,,9,0.24,118,3.19,313,8.46,13,0.35,4,0.11,8,0.22,19,0.51,-,-,-,-,54,1.46,-,-,10,1.25,-,-,-,-,1,0.17,-,-,-,-
Kochi,1998,41.63,16,,8,0.27,74,2.47,203,6.77,6,0.2,1,0.03,5,0.17,5,0.17,2,0.07,-,-,7,0.23,-,-,-,-,-,-,-,-,5,0.63,-,-,1,0.13
Fukuoka,7874,39.77,50,,47,0.39,355,2.96,927,7.73,67,0.56,41,0.34,9,0.08,57,0.48,1,0.01,4,0.03,70,0.58,-,-,14,0.54,-,-,2,0.13,13,0.87,-,-,1,0.07
Saga,1240,31.79,19,,15,0.65,53,2.3,99,4.3,10,0.43,11,0.48,1,0.04,11,0.48,-,-,-,-,7,0.3,-,-,1,0.25,-,-,-,-,2,0.33,-,-,-,-
Nagasaki,2236,31.94,3,,12,0.27,172,3.91,362,8.23,13,0.3,11,0.25,2,0.05,13,0.3,1,0.02,1,0.02,17,0.39,-,-,3,0.38,-,-,-,-,4,0.33,-,-,-,-
Kumamoto,2212,27.65,16,,23,0.46,97,1.94,486,9.72,21,0.42,25,0.5,3,0.06,17,0.34,-,-,10,0.2,36,0.72,-,-,13,1.44,-,-,1,0.07,4,0.27,-,-,1,0.07
Oita,2236,38.55,12,,8,0.22,114,3.17,653,18.14,12,0.33,2,0.06,1,0.03,18,0.5,1,0.03,-,-,16,0.44,-,-,3,0.6,-,-,-,-,2,0.18,-,-,2,0.18
Miyazaki,2162,36.64,16,,16,0.44,83,2.31,361,10.03,14,0.39,27,0.75,11,0.31,30,0.83,-,-,2,0.06,15,0.42,-,-,10,2,-,-,-,-,1,0.14,-,-,-,-
Kagoshima,3563,38.31,42,,41,0.75,81,1.47,384,6.98,20,0.36,25,0.45,-,-,22,0.4,-,-,-,-,114,2.07,-,-,2,0.29,1,0.08,-,-,1,0.08,-,-,-,-
Okinawa,1370,23.62,8,,6,0.18,40,1.18,158,4.65,28,0.82,5,0.15,2,0.06,5,0.15,-,-,1,0.03,3,0.09,-,-,4,0.44,-,-,2,0.29,5,0.71,-,-,1,0.14
