"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2018",,,,,,"Data collected as of October 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tottori,10899,375.83,532,28,386,20.32,3765,198.16,5468,287.79,135,7.11,372,19.58,21,1.11,370,19.47,449,23.63,46,2.42,3,0.6,78,15.6,7,1.4,18,3.6,17,3.4,1,0.2,52,10.4
Shimane,10061,271.92,730,33.18,259,11.77,2037,92.59,5508,250.36,158,7.18,903,41.05,16,0.73,522,23.73,391,17.77,193,8.77,-,-,24,8,14,1.75,50,6.25,19,2.38,-,-,78,9.75
Okayama,28415,338.27,1140,21.11,578,10.7,3524,65.26,14790,273.89,628,11.63,697,12.91,195,3.61,874,16.19,757,14.02,246,4.56,15,1.25,355,29.58,7,1.4,2,0.4,16,3.2,-,-,30,6
Hiroshima,34278,300.68,2092,29.46,1406,19.8,5655,79.65,18760,264.23,676,9.52,2560,36.06,85,1.2,1065,15,1676,23.61,341,4.8,21,1.11,755,39.74,7,0.35,6,0.3,71,3.55,2,0.1,377,18.85
Yamaguchi,26814,400.21,2474,52.64,697,14.83,5482,116.64,9376,199.49,455,9.68,2662,56.64,76,1.62,1017,21.64,1327,28.23,250,5.32,2,0.22,224,24.89,5,0.56,6,0.67,38,4.22,-,-,104,11.56
Tokushima,11998,324.27,1566,68.09,412,17.91,1482,64.43,5035,218.91,186,8.09,1160,50.43,150,6.52,715,31.09,787,34.22,102,4.43,-,-,33,8.25,4,0.57,2,0.29,20,2.86,-,-,2,0.29
Kagawa,15221,330.89,1198,44.37,442,16.37,2053,76.04,7331,271.52,285,10.56,658,24.37,29,1.07,633,23.44,1277,47.3,208,7.7,4,0.8,157,31.4,6,1.2,4,0.8,29,5.8,1,0.2,41,8.2
Ehime,23395,389.92,1943,53.97,417,11.58,4161,115.58,11244,312.33,359,9.97,2843,78.97,69,1.92,1006,27.94,989,27.47,257,7.14,1,0.14,594,84.86,1,0.17,1,0.17,125,20.83,-,-,46,7.67
Kochi,20894,435.29,1034,34.47,461,15.37,1580,52.67,4129,137.63,232,7.73,1053,35.1,144,4.8,445,14.83,460,15.33,59,1.97,-,-,101,33.67,3,0.38,1,0.13,86,10.75,17,2.13,32,4
Fukuoka,90532,459.55,6010,50.5,3319,27.89,15310,128.66,35213,295.91,2103,17.67,10715,90.04,380,3.19,3441,28.92,3250,27.31,1504,12.64,15,0.58,1635,62.88,26,1.73,34,2.27,123,8.2,-,-,79,5.27
Saga,15692,412.95,1119,50.86,726,33,1371,62.32,3576,162.55,272,12.36,1294,58.82,59,2.68,648,29.45,1183,53.77,75,3.41,3,1,103,34.33,2,0.33,15,2.5,35,5.83,1,0.17,56,9.33
Nagasaki,26982,391.04,1684,38.27,721,16.39,4004,91,7647,173.8,472,10.73,2509,57.02,50,1.14,813,18.48,818,18.59,124,2.82,6,0.75,259,32.38,12,1,25,2.08,82,6.83,-,-,98,8.17
Kumamoto,30022,375.28,2033,40.66,776,15.52,2846,56.92,14161,283.22,427,8.54,4433,88.66,48,0.96,1450,29,1599,31.98,206,4.12,4,0.44,705,78.33,9,0.6,22,1.47,33,2.2,-,-,44,2.93
Oita,27164,468.34,1320,36.67,424,11.78,2359,65.53,16315,453.19,804,22.33,5180,143.89,30,0.83,955,26.53,1144,31.78,614,17.06,3,0.6,214,42.8,2,0.18,2,0.18,57,5.18,-,-,25,2.27
Miyazaki,27788,479.1,2520,72,1145,32.71,2945,84.14,14580,416.57,581,16.6,5451,155.74,71,2.03,1290,36.86,1029,29.4,1178,33.66,1,0.17,697,116.17,2,0.29,-,-,5,0.71,-,-,155,22.14
Kagoshima,40952,445.13,3187,59.02,2564,47.48,6057,112.17,16982,314.48,728,13.48,4999,92.57,143,2.65,1089,20.17,1063,19.69,1260,23.33,1,0.14,375,53.57,5,0.42,6,0.5,12,1,-,-,15,1.25
Okinawa,30636,537.47,2476,72.82,856,25.18,2162,63.59,5487,161.38,746,21.94,2456,72.24,118,3.47,639,18.79,346,10.18,170,5,13,1.44,919,102.11,28,4,57,8.14,41,5.86,3,0.43,40,5.71
