"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49th week, 2012",,,,,,"Data collected as of December 12, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,22,0.32,55,,31,0.65,172,3.58,1128,23.5,104,2.17,10,0.21,3,0.06,45,0.94,-,-,5,0.1,11,0.23,-,-,5,0.56,-,-,-,-,4,0.44,1,0.11
Tokushima,13,0.34,87,,-,-,29,1.26,360,15.65,46,2,1,0.04,1,0.04,19,0.83,-,-,-,-,3,0.13,-,-,-,-,-,-,-,-,1,0.2,-,-
Kagawa,1,0.02,122,,5,0.17,22,0.73,810,27,37,1.23,14,0.47,3,0.1,10,0.33,-,-,18,0.6,3,0.1,-,-,-,-,-,-,-,-,2,0.4,-,-
Ehime,11,0.18,103,,4,0.11,84,2.27,1178,31.84,94,2.54,8,0.22,5,0.14,29,0.78,-,-,4,0.11,17,0.46,1,0.13,11,1.38,-,-,-,-,5,0.83,-,-
Kochi,17,0.35,46,,3,0.1,31,1.03,415,13.83,89,2.97,1,0.03,4,0.13,12,0.4,-,-,1,0.03,5,0.17,-,-,1,0.33,-,-,-,-,9,1.13,-,-
Fukuoka,99,0.5,59,,114,0.95,271,2.26,1939,16.16,286,2.38,62,0.52,-,-,96,0.8,5,0.04,5,0.04,74,0.62,-,-,12,0.46,-,-,-,-,7,0.47,2,0.13
Saga,212,5.58,9,,28,1.27,40,1.82,349,15.86,91,4.14,-,-,-,-,12,0.55,-,-,-,-,8,0.36,-,-,1,0.25,-,-,-,-,2,0.33,-,-
Nagasaki,29,0.41,65,,19,0.43,98,2.23,772,17.55,125,2.84,19,0.43,-,-,32,0.73,1,0.02,-,-,27,0.61,-,-,5,0.63,1,0.08,-,-,3,0.25,-,-
Kumamoto,2,0.03,54,,32,0.67,54,1.13,1269,26.44,91,1.9,29,0.6,-,-,37,0.77,-,-,10,0.21,15,0.31,-,-,14,1.56,-,-,2,0.13,4,0.27,-,-
Oita,61,1.05,42,,8,0.22,85,2.36,936,26,89,2.47,17,0.47,1,0.03,25,0.69,2,0.06,5,0.14,61,1.69,-,-,1,0.2,-,-,-,-,10,0.91,-,-
Miyazaki,5,0.08,19,,43,1.19,171,4.75,1294,35.94,123,3.42,36,1,-,-,36,1,1,0.03,-,-,16,0.44,1,0.17,31,5.17,-,-,-,-,1,0.14,-,-
Kagoshima,2,0.02,8,,46,0.84,73,1.33,1871,34.02,161,2.93,69,1.25,1,0.02,21,0.38,2,0.04,7,0.13,16,0.29,-,-,14,2,-,-,-,-,2,0.17,-,-
Okinawa,163,2.81,6,,4,0.12,17,0.5,152,4.47,63,1.85,19,0.56,1,0.03,14,0.41,-,-,4,0.12,10,0.29,-,-,21,2.1,-,-,-,-,8,1.14,-,-
