"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2017",,,,,,"Data collected as of November 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,7,0.1,94,,21,0.44,85,1.77,171,3.56,15,0.31,62,1.29,-,-,22,0.46,-,-,8,0.17,24,0.5,-,-,18,2,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,-,-,71,,5,0.22,26,1.13,101,4.39,10,0.43,43,1.87,-,-,15,0.65,1,0.04,3,0.13,9,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,2,0.04,60,,5,0.18,47,1.68,116,4.14,1,0.04,22,0.79,1,0.04,19,0.68,-,-,11,0.39,20,0.71,-,-,10,2,-,-,-,-,2,0.4,-,-,-,-
Ehime,23,0.38,60,,13,0.35,91,2.46,279,7.54,9,0.24,154,4.16,4,0.11,22,0.59,-,-,12,0.32,44,1.19,-,-,12,1.5,-,-,-,-,2,0.33,-,-,-,-
Kochi,-,-,100,,1,0.03,42,1.4,104,3.47,11,0.37,29,0.97,-,-,17,0.57,-,-,13,0.43,1,0.03,-,-,1,0.33,-,-,-,-,3,0.38,1,0.13,-,-
Fukuoka,180,0.91,289,,48,0.4,392,3.27,703,5.86,49,0.41,281,2.34,7,0.06,72,0.6,4,0.03,35,0.29,44,0.37,-,-,20,0.77,1,0.07,-,-,4,0.27,-,-,-,-
Saga,-,-,71,,8,0.35,30,1.3,60,2.61,1,0.04,103,4.48,-,-,13,0.57,-,-,9,0.39,-,-,-,-,1,0.25,-,-,1,0.17,-,-,-,-,-,-
Nagasaki,63,0.9,49,,7,0.16,59,1.34,128,2.91,7,0.16,51,1.16,1,0.02,12,0.27,-,-,6,0.14,11,0.25,-,-,-,-,-,-,1,0.08,2,0.17,-,-,-,-
Kumamoto,15,0.19,148,,37,0.74,44,0.88,234,4.68,12,0.24,110,2.2,1,0.02,25,0.5,-,-,39,0.78,14,0.28,-,-,12,1.33,1,0.07,-,-,1,0.07,-,-,-,-
Oita,14,0.24,49,,8,0.22,47,1.31,220,6.11,14,0.39,37,1.03,1,0.03,13,0.36,-,-,7,0.19,39,1.08,-,-,1,0.2,-,-,-,-,2,0.18,-,-,-,-
Miyazaki,26,0.44,40,,48,1.33,40,1.11,304,8.44,11,0.31,49,1.36,2,0.06,25,0.69,-,-,26,0.72,20,0.56,-,-,14,2.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,46,0.51,86,,65,1.23,84,1.58,301,5.68,17,0.32,147,2.77,1,0.02,16,0.3,-,-,38,0.72,83,1.57,1,0.14,9,1.29,-,-,-,-,-,-,-,-,-,-
Okinawa,277,4.78,18,,16,0.47,30,0.88,86,2.53,17,0.5,58,1.71,3,0.09,12,0.35,-,-,12,0.35,3,0.09,-,-,26,2.89,-,-,3,0.43,2,0.29,1,0.14,-,-
