"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20th week, 2018",,,,,,"Data collected as of May 23, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,21,0.18,18,0.25,51,0.71,147,2.04,603,8.38,13,0.18,52,0.72,-,-,37,0.51,20,0.28,17,0.24,-,-,29,1.53,-,-,-,-,-,-,1,0.05,8,0.38
Yamaguchi,14,0.21,25,0.53,25,0.53,161,3.43,319,6.79,15,0.32,64,1.36,-,-,35,0.74,5,0.11,8,0.17,-,-,3,0.33,-,-,-,-,-,-,-,-,1,0.11
Tokushima,62,1.68,11,0.48,16,0.7,74,3.22,206,8.96,6,0.26,9,0.39,4,0.17,19,0.83,-,-,3,0.13,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kagawa,23,0.49,2,0.07,22,0.79,72,2.57,337,12.04,11,0.39,5,0.18,2,0.07,25,0.89,12,0.43,6,0.21,1,0.2,5,1,-,-,-,-,-,-,-,-,6,1.2
Ehime,33,0.54,25,0.68,14,0.38,147,3.97,491,13.27,4,0.11,3,0.08,3,0.08,29,0.78,3,0.08,10,0.27,-,-,14,1.75,-,-,-,-,2,0.33,-,-,2,0.33
Kochi,5,0.1,8,0.27,6,0.2,62,2.07,156,5.2,8,0.27,20,0.67,2,0.07,13,0.43,1,0.03,-,-,-,-,-,-,-,-,-,-,4,0.5,-,-,-,-
Fukuoka,129,0.65,50,0.42,133,1.11,426,3.55,1200,10,58,0.48,430,3.58,2,0.02,106,0.88,11,0.09,48,0.4,-,-,65,2.5,-,-,-,-,2,0.13,-,-,4,0.27
Saga,30,0.77,6,0.26,39,1.7,44,1.91,136,5.91,9,0.39,63,2.74,2,0.09,15,0.65,4,0.17,1,0.04,-,-,3,0.75,-,-,-,-,1,0.17,-,-,1,0.17
Nagasaki,39,0.56,3,0.07,21,0.48,130,2.95,306,6.95,9,0.2,93,2.11,2,0.05,20,0.45,22,0.5,2,0.05,1,0.13,11,1.38,-,-,-,-,4,0.33,-,-,7,0.58
Kumamoto,36,0.45,14,0.28,26,0.52,103,2.06,479,9.58,30,0.6,198,3.96,-,-,52,1.04,11,0.22,3,0.06,-,-,24,2.67,-,-,-,-,1,0.07,-,-,4,0.27
Oita,3,0.05,7,0.19,14,0.39,64,1.78,472,13.11,12,0.33,249,6.92,1,0.03,24,0.67,7,0.19,14,0.39,-,-,8,1.6,-,-,-,-,-,-,-,-,-,-
Miyazaki,46,0.78,9,0.25,32,0.89,92,2.56,422,11.72,19,0.53,302,8.39,-,-,28,0.78,11,0.31,35,0.97,-,-,9,1.5,-,-,-,-,-,-,-,-,1,0.14
Kagoshima,30,0.33,6,0.11,72,1.33,166,3.07,524,9.7,19,0.35,323,5.98,6,0.11,30,0.56,1,0.02,26,0.48,-,-,9,1.29,-,-,-,-,-,-,-,-,1,0.08
Okinawa,97,1.7,63,1.85,23,0.68,58,1.71,164,4.82,5,0.15,36,1.06,3,0.09,22,0.65,-,-,3,0.09,-,-,21,2.33,-,-,2,0.29,-,-,-,-,2,0.29
