"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2017",,,,,,"Data collected as of December 27, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,32035,281.01,3449,48.58,1926,27.13,8268,116.45,18288,257.58,1162,16.37,7730,108.87,235,3.31,1353,19.06,51,0.72,1125,15.85,1091,15.37,10,0.53,803,42.26,7,0.35,15,0.75,174,8.7,2,0.1,112,5.6
Yamaguchi,22553,331.66,2941,61.27,1091,22.73,5423,112.98,10478,218.29,676,14.08,4854,101.13,141,2.94,1238,25.79,34,0.71,2156,44.92,2903,60.48,-,-,510,56.67,6,0.67,5,0.56,146,16.22,1,0.11,94,10.44
Tokushima,9461,255.7,2009,87.35,703,30.57,2181,94.83,6500,282.61,345,15,2014,87.57,90,3.91,839,36.48,11,0.48,683,29.7,795,34.57,1,0.25,43,10.75,-,-,2,0.33,13,2.17,-,-,12,2
Kagawa,9777,208.02,1483,52.96,680,24.29,2873,102.61,9661,345.04,351,12.54,3233,115.46,76,2.71,682,24.36,17,0.61,804,28.71,1093,39.04,6,1.2,195,39,4,0.8,9,1.8,122,24.4,-,-,155,31
Ehime,19585,321.07,2349,63.49,687,18.57,5178,139.95,15179,410.24,542,14.65,5224,141.19,288,7.78,1188,32.11,11,0.3,696,18.81,2637,71.27,1,0.13,857,107.13,6,1,2,0.33,103,17.17,-,-,33,5.5
Kochi,14983,312.15,1791,59.7,401,13.37,2534,84.47,5667,188.9,604,20.13,3339,111.3,115,3.83,537,17.9,28,0.93,604,20.13,197,6.57,-,-,17,5.67,6,0.75,7,0.88,89,11.13,13,1.63,88,11
Fukuoka,81960,413.94,8260,68.83,3329,27.74,21405,178.38,45634,380.28,3237,26.98,14152,117.93,351,2.93,3920,32.67,114,0.95,6901,57.51,3432,28.6,3,0.12,991,38.12,65,4.33,41,2.73,416,27.73,-,-,52,3.47
Saga,14262,375.32,1102,50.09,739,33.59,2027,92.14,5002,227.36,450,20.45,3847,174.86,44,2,821,37.32,9,0.41,1152,52.36,207,9.41,-,-,132,44,6,1,16,2.67,43,7.17,1,0.17,127,21.17
Nagasaki,27831,397.59,2347,53.34,536,12.18,5994,136.23,8849,201.11,558,12.68,3758,85.41,34,0.77,979,22.25,17,0.39,1173,26.66,922,20.95,11,1.38,98,12.25,4,0.33,44,3.67,133,11.08,-,-,128,10.67
Kumamoto,27342,341.78,3291,65.82,1663,33.26,4555,91.1,18474,369.48,962,19.24,6411,128.22,107,2.14,1683,33.66,10,0.2,3118,62.36,1243,24.86,6,0.67,665,73.89,16,1.07,41,2.73,111,7.4,-,-,124,8.27
Oita,23131,398.81,1322,36.72,707,19.64,5269,146.36,20481,568.92,827,22.97,5004,139,40,1.11,1244,34.56,29,0.81,1897,52.69,1412,39.22,-,-,162,32.4,2,0.18,3,0.27,120,10.91,1,0.09,47,4.27
Miyazaki,26547,457.71,2404,68.69,1858,53.09,3848,109.94,16123,460.66,950,27.14,5691,162.6,320,9.14,1523,43.51,31,0.89,2249,64.26,639,18.26,5,1,690,138,-,-,3,0.43,30,4.29,1,0.14,115,16.43
Kagoshima,30658,333.24,3313,61.35,3734,69.15,5055,93.61,21092,390.59,1036,19.19,5971,110.57,97,1.8,1112,20.59,17,0.31,2342,43.37,4655,86.2,2,0.29,435,62.14,8,0.67,11,0.92,36,3,-,-,109,9.08
Okinawa,32250,565.79,2303,67.74,1259,37.03,1715,50.44,6702,197.12,776,22.82,2155,63.38,60,1.76,551,16.21,120,3.53,414,12.18,219,6.44,10,1.11,999,111,25,3.57,75,10.71,163,23.29,4,0.57,87,12.43
