"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2018",,,,,,"Data collected as of June 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Ehime,8,0.13,10,0.27,19,0.51,148,4,475,12.84,7,0.19,1,0.03,1,0.03,33,0.89,8,0.22,6,0.16,-,-,15,1.88,-,-,-,-,2,0.33,-,-,7,1.17
Kochi,5,0.1,1,0.03,21,0.7,72,2.4,160,5.33,11,0.37,20,0.67,5,0.17,20,0.67,-,-,5,0.17,-,-,2,0.67,-,-,-,-,2,0.25,-,-,2,0.25
Fukuoka,58,0.29,47,0.39,149,1.24,484,4.03,1056,8.8,51,0.43,565,4.71,2,0.02,94,0.78,30,0.25,48,0.4,-,-,63,2.42,-,-,-,-,4,0.27,-,-,4,0.27
Saga,16,0.41,3,0.13,32,1.39,35,1.52,137,5.96,15,0.65,59,2.57,-,-,22,0.96,23,1,2,0.09,-,-,1,0.25,-,-,1,0.17,1,0.17,-,-,1,0.17
Nagasaki,19,0.27,7,0.16,17,0.39,119,2.7,256,5.82,11,0.25,115,2.61,-,-,31,0.7,22,0.5,5,0.11,-,-,6,0.75,1,0.08,-,-,3,0.25,-,-,3,0.25
Kumamoto,27,0.34,3,0.06,21,0.42,88,1.76,458,9.16,18,0.36,253,5.06,2,0.04,48,0.96,15,0.3,2,0.04,-,-,29,3.22,-,-,-,-,-,-,-,-,1,0.07
Oita,8,0.14,8,0.22,22,0.61,95,2.64,458,12.72,30,0.83,295,8.19,2,0.06,22,0.61,11,0.31,22,0.61,-,-,4,0.8,-,-,-,-,2,0.18,-,-,-,-
Miyazaki,9,0.16,16,0.46,54,1.54,98,2.8,447,12.77,15,0.43,351,10.03,-,-,29,0.83,12,0.34,40,1.14,-,-,16,2.67,-,-,-,-,-,-,-,-,-,-
Kagoshima,37,0.4,5,0.09,79,1.46,165,3.06,518,9.59,20,0.37,406,7.52,6,0.11,26,0.48,16,0.3,32,0.59,-,-,12,1.71,-,-,-,-,-,-,-,-,1,0.08
Okinawa,133,2.33,120,3.53,29,0.85,33,0.97,153,4.5,11,0.32,65,1.91,3,0.09,16,0.47,3,0.09,4,0.12,-,-,13,1.44,1,0.14,-,-,1,0.14,-,-,1,0.14
