"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2018",,,,,,"Data collected as of June 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,9971,262.39,143,6.22,133,5.78,1277,55.52,3326,144.61,96,4.17,135,5.87,7,0.3,269,11.7,27,1.17,95,4.13,-,-,4,1.33,2,0.25,2,0.25,6,0.75,-,-,46,5.75
Okayama,28326,337.21,146,2.7,257,4.76,2192,40.59,8244,152.67,358,6.63,175,3.24,64,1.19,421,7.8,64,1.19,98,1.81,14,1.17,151,12.58,3,0.6,1,0.2,6,1.2,-,-,28,5.6
Hiroshima,34098,299.11,495,6.97,726,10.23,3329,46.89,12396,174.59,361,5.08,357,5.03,27,0.38,518,7.3,177,2.49,144,2.03,10,0.53,361,19,5,0.25,2,0.1,20,1,2,0.1,372,18.6
Yamaguchi,26709,398.64,790,16.81,449,9.55,3076,65.45,5842,124.3,260,5.53,381,8.11,16,0.34,493,10.49,58,1.23,184,3.91,-,-,110,12.22,5,0.56,3,0.33,22,2.44,-,-,103,11.44
Tokushima,11991,324.08,335,14.57,238,10.35,931,40.48,2614,113.65,105,4.57,98,4.26,41,1.78,336,14.61,16,0.7,74,3.22,-,-,18,4.5,3,0.43,1,0.14,8,1.14,-,-,2,0.29
Kagawa,15190,323.19,164,5.86,226,8.07,1171,41.82,4232,151.14,158,5.64,72,2.57,16,0.57,300,10.71,61,2.18,76,2.71,4,0.8,72,14.4,3,0.6,1,0.2,21,4.2,1,0.2,39,7.8
Ehime,23252,381.18,409,11.05,202,5.46,2603,70.35,6883,186.03,163,4.41,48,1.3,26,0.7,487,13.16,28,0.76,168,4.54,-,-,264,33,-,-,-,-,46,7.67,-,-,39,6.5
Kochi,20860,434.58,188,6.27,130,4.33,967,32.23,2651,88.37,112,3.73,228,7.6,28,0.93,217,7.23,12,0.4,24,0.8,-,-,16,5.33,2,0.25,1,0.13,37,4.63,12,1.5,24,3
Fukuoka,90176,455.43,1782,14.85,1408,11.73,8789,73.24,20239,168.66,1211,10.09,3027,25.23,92,0.77,1702,14.18,130,1.08,622,5.18,3,0.12,655,25.19,17,1.13,10,0.67,78,5.2,-,-,76,5.07
Saga,15560,409.47,159,7.23,413,18.77,807,36.68,2313,105.14,175,7.95,514,23.36,8,0.36,329,14.95,45,2.05,27,1.23,2,0.5,52,13,2,0.33,5,0.83,19,3.17,-,-,54,9
Nagasaki,26932,384.74,304,6.91,281,6.39,2593,58.93,5009,113.84,283,6.43,1174,26.68,19,0.43,386,8.77,120,2.73,49,1.11,6,0.75,89,11.13,3,0.25,8,0.67,46,3.83,-,-,90,7.5
Kumamoto,29779,372.24,360,7.2,481,9.62,1523,30.46,8057,161.14,267,5.34,1286,25.72,27,0.54,763,15.26,146,2.92,91,1.82,-,-,255,28.33,7,0.47,8,0.53,15,1,-,-,39,2.6
Oita,26973,465.05,244,6.78,200,5.56,1424,39.56,9739,270.53,357,9.92,1205,33.47,16,0.44,478,13.28,55,1.53,261,7.25,-,-,109,21.8,1,0.09,1,0.09,24,2.18,-,-,25,2.27
Miyazaki,27647,476.67,585,16.71,653,18.66,1597,45.63,8411,240.31,298,8.51,2253,64.37,25,0.71,615,17.57,80,2.29,644,18.4,-,-,285,47.5,1,0.14,-,-,4,0.57,-,-,153,21.86
Kagoshima,40589,441.18,802,14.85,1317,24.39,3522,65.22,9588,177.56,470,8.7,2221,41.13,51,0.94,462,8.56,56,1.04,789,14.61,1,0.14,161,23,1,0.08,2,0.17,6,0.5,-,-,12,1
Okinawa,28306,496.6,1073,31.56,252,7.41,1342,39.47,2660,78.24,453,13.32,498,14.65,43,1.26,347,10.21,24,0.71,82,2.41,6,0.67,265,29.44,12,1.71,32,4.57,19,2.71,3,0.43,19,2.71
